Date,Price
2000-01-01,136245
2000-01-15,136425
2000-01-28,136759
2000-02-10,136983
2000-02-23,137126
2000-03-07,137486
2000-03-20,137931
2000-04-02,138523
2000-04-15,138560
2000-04-28,139733
2000-05-11,140265
2000-05-24,140888
2000-06-06,140526
2000-06-19,141055
2000-07-02,141551
2000-07-15,141204
2000-07-28,142446
2000-08-10,142692
2000-08-23,142552
2000-09-05,142510
2000-09-18,142709
2000-10-01,142803
2000-10-14,143022
2000-10-27,143072
2000-11-09,143213
2000-11-22,143780
2000-12-05,144054
2000-12-18,144300
2000-12-31,144174
2001-01-13,144245
2001-01-26,145009
2001-02-08,145068
2001-02-21,144926
2001-03-06,145523
2001-03-19,145544
2001-04-01,146272
2001-04-14,147322
2001-04-27,147040
2001-05-10,148133
2001-05-23,147870
2001-06-06,148190
2001-06-19,147864
2001-07-02,148109
2001-07-15,148207
2001-07-28,147873
2001-08-10,148006
2001-08-23,149309
2001-09-05,149461
2001-09-18,149502
2001-10-01,149596
2001-10-14,149845
2001-10-27,149831
2001-11-09,150099
2001-11-22,150385
2001-12-05,150753
2001-12-18,151318
2001-12-31,151266
2002-01-13,151127
2002-01-26,151063
2002-02-08,151656
2002-02-21,152557
2002-03-06,152282
2002-03-19,153600
2002-04-01,154365
2002-04-14,154450
2002-04-27,155660
2002-05-10,155704
2002-05-23,155837
2002-06-05,156450
2002-06-18,156723
2002-07-01,157503
2002-07-14,157969
2002-07-27,158808
2002-08-09,158699
2002-08-22,158504
2002-09-04,158694
2002-09-17,158857
2002-09-30,159062
2002-10-13,159363
2002-10-26,159596
2002-11-09,160205
2002-11-22,160023
2002-12-05,161056
2002-12-18,161182
2002-12-31,161399
2003-01-13,161615
2003-01-26,162166
2003-02-08,162711
2003-02-21,163408
2003-03-06,163997
2003-03-19,164106
2003-04-01,164748
2003-04-14,164821
2003-04-27,165075
2003-05-10,165453
2003-05-23,165849
2003-06-05,166125
2003-06-18,166570
2003-07-01,166877
2003-07-14,167089
2003-07-27,167654
2003-08-09,168230
2003-08-22,168625
2003-09-04,168786
2003-09-17,169135
2003-09-30,169291
2003-10-13,169341
2003-10-26,169732
2003-11-08,169923
2003-11-21,170472
2003-12-04,170604
2003-12-17,171062
2003-12-30,171047
2004-01-12,171173
2004-01-25,171210
2004-02-07,171659
2004-02-20,172124
2004-03-04,172298
2004-03-17,172758
2004-03-31,173085
2004-04-13,173156
2004-04-26,173501
2004-05-09,174124
2004-05-22,174672
2004-06-04,175073
2004-06-17,174812
2004-06-30,175306
2004-07-13,176098
2004-07-26,176194
2004-08-08,176566
2004-08-21,176811
2004-09-03,177111
2004-09-16,177179
2004-09-29,177675
2004-10-12,177822
2004-10-25,178238
2004-11-07,178826
2004-11-20,179437
2004-12-03,179495
2004-12-16,179915
2004-12-29,180360
2005-01-11,180290
2005-01-24,180604
2005-02-06,181219
2005-02-19,181292
2005-03-04,181395
2005-03-17,181985
2005-03-30,182141
2005-04-12,182996
2005-04-25,182922
2005-05-08,183007
2005-05-21,183573
2005-06-03,183575
2005-06-16,183630
2005-06-29,184902
2005-07-12,184346
2005-07-25,184777
2005-08-07,185142
2005-08-20,185873
2005-09-03,185775
2005-09-16,185947
2005-09-29,185915
2005-10-12,186532
2005-10-25,186352
2005-11-07,186296
2005-11-20,187197
2005-12-03,187554
2005-12-16,187227
2005-12-29,187062
2006-01-11,187556
2006-01-24,187382
2006-02-06,186964
2006-02-19,187741
2006-03-04,188060
2006-03-17,188284
2006-03-30,188483
2006-04-12,188574
2006-04-25,188999
2006-05-08,189918
2006-05-21,190059
2006-06-03,190339
2006-06-16,190535
2006-06-29,190595
2006-07-12,190621
2006-07-25,191406
2006-08-07,191596
2006-08-20,192175
2006-09-02,192259
2006-09-15,192692
2006-09-28,192889
2006-10-11,193095
2006-10-24,193653
2006-11-06,193159
2006-11-19,193189
2006-12-02,192980
2006-12-15,193115
2006-12-28,193866
2007-01-10,194102
2007-01-24,194683
2007-02-06,194682
2007-02-19,194932
2007-03-04,194860
2007-03-17,195697
2007-03-30,195137
2007-04-12,195242
2007-04-25,195520
2007-05-08,194684
2007-05-21,196420
2007-06-03,197112
2007-06-16,197404
2007-06-29,198271
2007-07-12,198311
2007-07-25,198145
2007-08-07,197634
2007-08-20,198061
2007-09-02,198670
2007-09-15,199147
2007-09-28,199631
2007-10-11,199673
2007-10-24,199522
2007-11-06,199541
2007-11-19,200112
2007-12-02,200728
2007-12-15,201254
2007-12-28,201412
2008-01-10,201240
2008-01-23,201290
2008-02-05,201521
2008-02-18,201674
2008-03-02,201410
2008-03-15,201584
2008-03-28,201959
2008-04-10,202651
2008-04-23,202571
2008-05-06,202385
2008-05-19,202326
2008-06-01,201949
2008-06-14,202589
2008-06-28,202558
2008-07-11,202739
2008-07-24,202814
2008-08-06,203026
2008-08-19,203437
2008-09-01,203474
2008-09-14,203670
2008-09-27,203503
2008-10-10,202994
2008-10-23,202751
2008-11-05,202840
2008-11-18,202806
2008-12-01,202873
2008-12-14,203096
2008-12-27,202823
2009-01-09,202671
2009-01-22,202928
2009-02-04,202617
2009-02-17,201875
2009-03-02,202229
2009-03-15,201895
2009-03-28,201755
2009-04-10,201630
2009-04-23,201864
2009-05-06,202261
2009-05-19,202796
2009-06-01,202763
2009-06-14,202880
2009-06-27,203317
2009-07-10,204206
2009-07-23,205180
2009-08-05,205048
2009-08-18,205192
2009-08-31,205103
2009-09-13,205489
2009-09-26,206365
2009-10-09,206818
2009-10-22,206705
2009-11-04,207565
2009-11-17,208029
2009-12-01,208963
2009-12-14,209504
2009-12-27,209528
2010-01-09,209704
2010-01-22,210412
2010-02-04,211377
2010-02-17,211700
2010-03-02,212608
2010-03-15,213349
2010-03-28,212999
2010-04-10,213938
2010-04-23,215075
2010-05-06,215632
2010-05-19,216359
2010-06-01,217265
2010-06-14,218242
2010-06-27,219198
2010-07-10,219243
2010-07-23,219121
2010-08-05,219933
2010-08-18,220615
2010-08-31,221325
2010-09-13,222113
2010-09-26,222321
2010-10-09,222157
2010-10-22,223184
2010-11-04,222694
2010-11-17,223715
2010-11-30,223596
2010-12-13,224422
2010-12-26,224595
2011-01-08,224635
2011-01-21,224905
2011-02-03,225054
2011-02-16,224882
2011-03-01,225654
2011-03-14,226556
2011-03-27,228239
2011-04-09,228553
2011-04-23,229400
2011-05-06,229845
2011-05-19,229971
2011-06-01,230896
2011-06-14,230639
2011-06-27,231460
2011-07-10,232389
2011-07-23,232988
2011-08-05,232932
2011-08-18,233048
2011-08-31,233953
2011-09-13,234101
2011-09-26,234721
2011-10-09,235525
2011-10-22,236259
2011-11-04,236922
2011-11-17,236823
2011-11-30,236327
2011-12-13,237473
2011-12-26,237960
2012-01-08,238495
2012-01-21,238493
2012-02-03,238803
2012-02-16,240257
2012-02-29,239699
2012-03-13,240666
2012-03-26,241933
2012-04-08,242965
2012-04-21,242362
2012-05-04,243987
2012-05-17,245219
2012-05-30,246239
2012-06-12,246414
2012-06-25,246572
2012-07-08,246828
2012-07-21,246603
2012-08-03,246591
2012-08-16,247163
2012-08-29,248390
2012-09-11,249323
2012-09-25,249378
2012-10-08,249145
2012-10-21,250365
2012-11-03,250627
2012-11-16,252078
2012-11-29,252916
2012-12-12,253259
2012-12-25,253408
2013-01-07,252912
2013-01-20,253556
2013-02-02,254302
2013-02-15,254710
2013-02-28,254264
2013-03-13,256882
2013-03-26,257035
2013-04-08,257707
2013-04-21,258220
2013-05-04,259745
2013-05-17,260355
2013-05-30,261383
2013-06-12,262084
2013-06-25,263351
2013-07-08,263545
2013-07-21,264789
2013-08-03,266023
2013-08-16,265973
2013-08-29,266879
2013-09-11,266919
2013-09-24,267832
2013-10-07,269328
2013-10-20,270370
2013-11-02,270811
2013-11-15,272017
2013-11-28,273025
2013-12-11,274066
2013-12-24,275463
2014-01-06,276135
2014-01-19,276327
2014-02-01,276533
2014-02-15,276866
2014-02-28,277866
2014-03-13,278224
2014-03-26,279412
2014-04-08,281008
2014-04-21,282748
2014-05-04,283715
2014-05-17,284470
2014-05-30,287155
2014-06-12,286978
2014-06-25,286901
2014-07-08,288124
2014-07-21,288249
2014-08-03,289099
2014-08-16,289412
2014-08-29,291351
2014-09-11,292604
2014-09-24,294073
2014-10-07,294536
2014-10-20,295483
2014-11-02,296812
2014-11-15,297351
2014-11-28,299687
2014-12-11,300012
2014-12-24,300467
2015-01-06,300561
2015-01-19,301296
2015-02-01,302364
2015-02-14,302562
2015-02-27,303447
2015-03-12,305584
2015-03-25,306744
2015-04-07,307927
2015-04-20,309263
2015-05-03,309705
2015-05-16,312108
2015-05-29,313885
2015-06-11,316195
2015-06-24,317472
2015-07-07,318022
2015-07-21,320260
2015-08-03,322044
2015-08-16,324223
2015-08-29,324261
2015-09-11,325071
2015-09-24,325990
2015-10-07,327386
2015-10-20,328293
2015-11-02,328654
2015-11-15,329042
2015-11-28,330563
2015-12-11,330767
2015-12-24,331032
2016-01-06,331325
2016-01-19,331291
2016-02-01,331732
2016-02-14,333888
2016-02-27,335124
2016-03-11,336879
2016-03-24,338200
2016-04-06,339060
2016-04-19,341672
2016-05-02,343840
2016-05-15,344656
2016-05-28,347817
2016-06-10,351339
2016-06-23,354039
2016-07-06,355370
2016-07-19,357814
2016-08-01,359471
2016-08-14,361674
2016-08-27,364200
2016-09-09,365169
2016-09-22,367855
2016-10-05,369831
2016-10-18,372244
2016-10-31,374153
2016-11-13,376597
2016-11-26,378295
2016-12-09,380038
2016-12-23,382466
2017-01-05,383160
2017-01-18,384537
2017-01-31,387531
2017-02-13,390365
2017-02-26,392508
2017-03-11,396691
2017-03-24,399096
2017-04-06,402384
2017-04-19,405108
2017-05-02,407683
2017-05-15,413014
2017-05-28,416480
2017-06-10,421009
2017-06-23,423189
2017-07-06,425704
2017-07-19,426842
2017-08-01,428997
2017-08-14,430473
2017-08-27,433402
2017-09-09,435240
2017-09-22,437130
2017-10-05,439199
2017-10-18,443196
2017-10-31,445929
2017-11-13,447284
2017-11-26,446112
2017-12-09,445584
2017-12-22,445637
2018-01-04,445440
2018-01-17,446281
2018-01-30,446836
2018-02-12,447740
2018-02-25,446205
2018-03-10,444356
2018-03-23,443064
2018-04-05,443392
2018-04-18,441109
2018-05-01,440053
2018-05-15,438377
2018-05-28,438044
2018-06-10,440700
2018-06-23,442409
2018-07-06,442878
2018-07-19,443464
2018-08-01,443381
2018-08-14,443373
2018-08-27,443541
2018-09-09,444146
2018-09-22,445163
2018-10-05,445988
2018-10-18,446465
2018-10-31,446043
2018-11-13,446837
2018-11-26,449004
2018-12-09,448923
2018-12-22,449991
2019-01-04,450703
2019-01-17,451209
2019-01-30,452191
2019-02-12,452592
2019-02-25,454257
2019-03-10,452933
2019-03-23,453550
2019-04-05,453412
2019-04-18,453949
2019-05-01,454873
2019-05-14,454484
2019-05-27,457092
2019-06-09,457988
2019-06-22,458941
2019-07-05,459162
2019-07-18,459327
2019-07-31,459731
2019-08-13,462387
2019-08-26,462642
2019-09-08,461721
2019-09-21,462783
2019-10-04,463442
2019-10-18,465128
2019-10-31,465504
2019-11-13,467545
2019-11-26,468833
2019-12-09,469370
2019-12-22,467993
2020-01-04,468956
2020-01-17,470659
2020-01-30,471004
2020-02-12,472238
2020-02-25,474141
2020-03-09,476511
2020-03-22,478303
2020-04-04,478783
2020-04-17,480046
2020-04-30,481412
2020-05-13,481089
2020-05-26,480623
2020-06-08,481075
2020-06-21,484769
2020-07-04,487171
2020-07-17,492259
2020-07-30,495778
2020-08-12,498555
2020-08-25,501059
2020-09-07,504183
2020-09-20,504775
2020-10-03,508320
2020-10-16,509132
2020-10-29,510242
2020-11-11,511705
2020-11-24,513302
2020-12-07,515063
2020-12-20,516101
2021-01-02,516293
2021-01-15,516491
2021-01-28,518681
2021-02-10,521151
2021-02-23,522658
2021-03-09,525636
2021-03-22,531614
2021-04-04,536376
2021-04-17,538058
2021-04-30,541444
2021-05-13,543062
2021-05-26,546117
2021-06-08,547585
2021-06-21,548239
2021-07-04,549726
2021-07-17,551761
2021-07-30,552170
2021-08-12,555502
2021-08-25,556461
2021-09-07,556205
2021-09-20,558668
2021-10-03,563342
2021-10-16,568168
2021-10-29,571932
2021-11-11,574917
2021-11-24,578187
2021-12-07,580890
2021-12-20,583602
2022-01-02,585741
2022-01-15,588206
2022-01-28,591487
2022-02-10,595590
2022-02-23,600145
2022-03-08,603512
2022-03-21,606751
2022-04-03,609411
2022-04-16,615206
2022-04-29,618465
2022-05-12,620861
2022-05-25,625359
2022-06-07,627704
2022-06-20,629564
2022-07-03,633432
2022-07-16,636562
2022-07-29,638685
