Date,Price
2000-01-01,122355
2000-01-15,122588
2000-01-28,123274
2000-02-10,123747
2000-02-23,124212
2000-03-07,124272
2000-03-20,124792
2000-04-02,125425
2000-04-15,126387
2000-04-28,126759
2000-05-11,127488
2000-05-24,127777
2000-06-06,128356
2000-06-19,128500
2000-07-02,129386
2000-07-15,129315
2000-07-28,129374
2000-08-10,129708
2000-08-23,130115
2000-09-05,130074
2000-09-18,130396
2000-10-01,130655
2000-10-14,131129
2000-10-27,131437
2000-11-09,131748
2000-11-22,131769
2000-12-05,131842
2000-12-18,131901
2000-12-31,131710
2001-01-13,131918
2001-01-26,131853
2001-02-08,132210
2001-02-21,132536
2001-03-06,132901
2001-03-19,133152
2001-04-01,133236
2001-04-14,133320
2001-04-27,133177
2001-05-10,133962
2001-05-23,134124
2001-06-06,134171
2001-06-19,134520
2001-07-02,134735
2001-07-15,135592
2001-07-28,135619
2001-08-10,135630
2001-08-23,135608
2001-09-05,135790
2001-09-18,135634
2001-10-01,135991
2001-10-14,135911
2001-10-27,136312
2001-11-09,136443
2001-11-22,136635
2001-12-05,136834
2001-12-18,137129
2001-12-31,137433
2002-01-13,137449
2002-01-26,137792
2002-02-08,138378
2002-02-21,138793
2002-03-06,139105
2002-03-19,139389
2002-04-01,139961
2002-04-14,140314
2002-04-27,141040
2002-05-10,141234
2002-05-23,141366
2002-06-05,142219
2002-06-18,142461
2002-07-01,142683
2002-07-14,143221
2002-07-27,143300
2002-08-09,143517
2002-08-22,143904
2002-09-04,144225
2002-09-17,144847
2002-09-30,145417
2002-10-13,145973
2002-10-26,146238
2002-11-09,146714
2002-11-22,146867
2002-12-05,147268
2002-12-18,147276
2002-12-31,147668
2003-01-13,148212
2003-01-26,148565
2003-02-08,149087
2003-02-21,149540
2003-03-06,150083
2003-03-19,150362
2003-04-01,150986
2003-04-14,151833
2003-04-27,152548
2003-05-10,152841
2003-05-23,153725
2003-06-05,153584
2003-06-18,153987
2003-07-01,154528
2003-07-14,154245
2003-07-27,155269
2003-08-09,156291
2003-08-22,156649
2003-09-04,157079
2003-09-17,157210
2003-09-30,157230
2003-10-13,157402
2003-10-26,157657
