Date,Price
2000-01-01,175471
2000-01-15,175777
2000-01-28,176377
2000-02-10,176979
2000-02-23,177249
2000-03-07,178113
2000-03-20,178719
2000-04-02,179144
2000-04-15,180101
2000-04-28,180451
2000-05-11,181117
2000-05-24,181738
2000-06-06,182560
2000-06-19,183434
2000-07-02,183808
2000-07-15,183865
2000-07-28,184340
2000-08-10,184327
2000-08-23,184858
2000-09-05,185147
2000-09-18,185145
2000-10-01,185686
2000-10-14,185993
2000-10-27,185943
2000-11-09,186704
2000-11-22,186813
2000-12-05,187094
2000-12-18,187065
2000-12-31,187028
2001-01-13,186771
2001-01-26,187261
2001-02-08,187496
2001-02-21,187864
2001-03-06,187946
2001-03-19,188537
2001-04-01,189373
2001-04-14,190690
2001-04-27,190572
2001-05-10,190436
2001-05-23,190340
2001-06-06,191719
2001-06-19,191804
2001-07-02,191926
2001-07-15,191903
2001-07-28,192114
2001-08-10,192772
2001-08-23,192912
2001-09-05,193340
2001-09-18,194111
2001-10-01,194555
2001-10-14,194876
2001-10-27,195344
2001-11-09,195932
2001-11-22,196251
2001-12-05,196462
2001-12-18,196688
2001-12-31,197033
2002-01-13,197155
2002-01-26,197237
2002-02-08,198870
2002-02-21,199889
2002-03-06,200609
2002-03-19,200699
2002-04-01,201451
2002-04-14,202359
2002-04-27,203143
2002-05-10,204400
2002-05-23,204754
2002-06-05,205470
2002-06-18,205852
2002-07-01,206641
2002-07-14,208238
2002-07-27,207936
2002-08-09,208517
2002-08-22,209812
2002-09-04,210202
2002-09-17,210902
2002-09-30,211201
2002-10-13,211115
2002-10-26,211712
2002-11-09,213002
2002-11-22,214096
2002-12-05,214711
2002-12-18,214988
2002-12-31,215568
2003-01-13,215843
2003-01-26,216308
2003-02-08,217236
2003-02-21,218461
2003-03-06,218460
2003-03-19,219654
2003-04-01,220299
2003-04-14,220820
2003-04-27,221662
2003-05-10,222315
2003-05-23,222949
2003-06-05,223248
2003-06-18,223748
2003-07-01,224782
2003-07-14,224667
2003-07-27,225821
2003-08-09,226288
2003-08-22,226954
2003-09-04,226972
2003-09-17,228146
2003-09-30,227644
2003-10-13,228067
2003-10-26,228537
2003-11-08,229237
2003-11-21,230170
2003-12-04,230283
2003-12-17,230603
2003-12-30,230717
2004-01-12,230716
2004-01-25,230573
2004-02-07,230981
2004-02-20,231309
2004-03-04,232834
2004-03-17,233758
2004-03-31,234706
2004-04-13,235049
2004-04-26,235292
2004-05-09,235712
2004-05-22,236368
2004-06-04,237085
2004-06-17,237713
2004-06-30,237922
2004-07-13,238458
2004-07-26,239555
2004-08-08,239983
2004-08-21,240218
2004-09-03,240435
2004-09-16,240665
2004-09-29,241694
2004-10-12,242029
2004-10-25,243087
2004-11-07,243553
2004-11-20,244166
2004-12-03,244521
2004-12-16,244961
2004-12-29,244939
2005-01-11,245427
2005-01-24,245626
2005-02-06,245888
2005-02-19,246253
2005-03-04,246699
2005-03-17,247334
2005-03-30,247566
2005-04-12,248174
2005-04-25,248368
2005-05-08,249023
2005-05-21,249632
2005-06-03,249676
2005-06-16,249546
2005-06-29,250367
2005-07-12,250912
2005-07-25,250300
2005-08-07,251165
2005-08-20,252073
2005-09-03,252411
2005-09-16,253045
2005-09-29,253063
2005-10-12,254364
2005-10-25,254446
2005-11-07,254587
2005-11-20,255019
2005-12-03,255212
2005-12-16,255910
2005-12-29,256270
2006-01-11,256241
2006-01-24,256160
2006-02-06,256107
2006-02-19,256159
2006-03-04,257621
2006-03-17,257108
2006-03-30,258551
2006-04-12,259427
2006-04-25,259101
2006-05-08,259105
2006-05-21,259877
2006-06-03,260408
2006-06-16,260059
2006-06-29,260676
2006-07-12,262135
2006-07-25,262812
2006-08-07,263366
2006-08-20,263497
2006-09-02,263636
2006-09-15,264025
2006-09-28,264348
