Date,Price
2000-01-01,185605
2000-01-15,185829
2000-01-28,186298
2000-02-10,186590
2000-02-23,186817
2000-03-07,187328
2000-03-20,187926
2000-04-02,188711
2000-04-15,188817
2000-04-28,190369
2000-05-11,191082
2000-05-24,191932
2000-06-06,191476
2000-06-19,192191
2000-07-02,192944
2000-07-15,192699
2000-07-28,194674
2000-08-10,195402
2000-08-23,195652
2000-09-05,195971
2000-09-18,196526
2000-10-01,196865
2000-10-14,197428
2000-10-27,197845
2000-11-09,198466
2000-11-22,199672
2000-12-05,200432
2000-12-18,201080
2000-12-31,201140
2001-01-13,201438
2001-01-26,202721
2001-02-08,203104
2001-02-21,203190
2001-03-06,204250
2001-03-19,204469
2001-04-01,205591
2001-04-14,207174
2001-04-27,206977
2001-05-10,208711
2001-05-23,208572
2001-06-06,209236
2001-06-19,208933
2001-07-02,209372
2001-07-15,209690
2001-07-28,209449
2001-08-10,209889
2001-08-23,211935
2001-09-05,212365
2001-09-18,212572
2001-10-01,212768
2001-10-14,213189
2001-10-27,213264
2001-11-09,213734
2001-11-22,214228
2001-12-05,214822
2001-12-18,215676
2001-12-31,215652
2002-01-13,215485
2002-01-26,215426
2002-02-08,216306
2002-02-21,217593
2002-03-06,217226
2002-03-19,219073
2002-04-01,220220
2002-04-14,220386
2002-04-27,222128
2002-05-10,222222
2002-05-23,222388
2002-06-05,223267
2002-06-18,223649
2002-07-01,224728
2002-07-14,225413
2002-07-27,226593
2002-08-09,226445
2002-08-22,226199
2002-09-04,226464
2002-09-17,226716
2002-09-30,227073
2002-10-13,227554
2002-10-26,227956
2002-11-09,228911
2002-11-22,228713
2002-12-05,230218
2002-12-18,230398
2002-12-31,230628
2003-01-13,230820
2003-01-26,231449
2003-02-08,232089
2003-02-21,232946
2003-03-06,233723
2003-03-19,233870
2003-04-01,234824
2003-04-14,235021
2003-04-27,235482
2003-05-10,236138
2003-05-23,236819
2003-06-05,237286
2003-06-18,238002
2003-07-01,238586
2003-07-14,239036
2003-07-27,240029
2003-08-09,241036
2003-08-22,241764
2003-09-04,242123
2003-09-17,242707
2003-09-30,243000
2003-10-13,243195
2003-10-26,243869
2003-11-08,244268
2003-11-21,245181
2003-12-04,245454
2003-12-17,246169
2003-12-30,246194
2004-01-12,246447
2004-01-25,246565
2004-02-07,247281
2004-02-20,248000
2004-03-04,248329
2004-03-17,248971
2004-03-31,249298
2004-04-13,249227
2004-04-26,249524
2004-05-09,250186
2004-05-22,250804
2004-06-04,251252
2004-06-17,250879
2004-06-30,251539
2004-07-13,252570
2004-07-26,252648
2004-08-08,253082
2004-08-21,253374
2004-09-03,253763
2004-09-16,253807
2004-09-29,254414
2004-10-12,254494
2004-10-25,254919
2004-11-07,255588
2004-11-20,256345
2004-12-03,256379
2004-12-16,256901
2004-12-29,257435
2005-01-11,257217
2005-01-24,257543
2005-02-06,258296
2005-02-19,258326
2005-03-04,258428
2005-03-17,259324
2005-03-30,259642
2005-04-12,260915
2005-04-25,260918
