Date,Price
2000-01-01,180718
2000-01-15,181045
2000-01-28,182050
2000-02-10,182729
2000-02-23,183423
2000-03-07,183535
2000-03-20,184293
2000-04-02,185210
2000-04-15,186625
2000-04-28,187176
2000-05-11,188234
2000-05-24,188673
2000-06-06,189511
2000-06-19,189736
2000-07-02,191053
2000-07-15,191100
2000-07-28,191445
2000-08-10,192240
2000-08-23,193172
2000-09-05,193421
2000-09-18,194132
2000-10-01,194690
2000-10-14,195655
2000-10-27,196493
2000-11-09,197438
2000-11-22,197987
2000-12-05,198549
2000-12-18,198980
2000-12-31,198911
2001-01-13,199378
2001-01-26,199517
2001-02-08,200348
2001-02-21,201136
2001-03-06,201955
2001-03-19,202533
2001-04-01,202789
2001-04-14,203045
2001-04-27,203003
2001-05-10,204402
2001-05-23,204862
2001-06-06,205148
2001-06-19,205811
2001-07-02,206218
2001-07-15,207624
2001-07-28,207814
2001-08-10,208014
2001-08-23,208168
2001-09-05,208602
2001-09-18,208475
2001-10-01,209064
2001-10-14,208978
2001-10-27,209632
2001-11-09,209882
2001-11-22,210224
2001-12-05,210568
2001-12-18,211047
2001-12-31,211504
2002-01-13,211502
2002-01-26,211991
2002-02-08,212859
2002-02-21,213462
2002-03-06,213901
2002-03-19,214314
2002-04-01,215128
2002-04-14,215537
2002-04-27,216482
2002-05-10,216584
2002-05-23,216578
2002-06-05,217717
2002-06-18,217970
2002-07-01,218200
2002-07-14,218856
2002-07-27,218763
2002-08-09,218840
2002-08-22,219196
2002-09-04,219483
2002-09-17,220283
2002-09-30,220979
2002-10-13,221547
2002-10-26,221610
2002-11-09,221936
2002-11-22,221810
2002-12-05,222145
2002-12-18,221966
2002-12-31,222067
2003-01-13,222162
2003-01-26,221792
2003-02-08,221613
2003-02-21,221404
2003-03-06,221540
2003-03-19,221488
2003-04-01,221754
2003-04-14,222042
2003-04-27,221908
2003-05-10,221126
2003-05-23,221291
2003-06-05,220260
2003-06-18,220297
2003-07-01,220568
2003-07-14,219441
2003-07-27,219950
2003-08-09,220397
2003-08-22,220039
2003-09-04,219969
2003-09-17,219782
2003-09-30,219570
2003-10-13,219498
2003-10-26,219452
2003-11-08,219538
2003-11-21,219959
2003-12-04,219866
2003-12-17,220566
2003-12-30,220025
2004-01-12,220022
2004-01-25,220194
2004-02-07,220812
2004-02-20,220808
2004-03-04,220774
2004-03-17,221418
2004-03-31,221424
2004-04-13,221309
2004-04-26,221399
2004-05-09,221762
2004-05-22,222066
2004-06-04,221913
2004-06-17,222286
2004-06-30,222909
2004-07-13,222904
2004-07-26,223025
2004-08-08,222805
2004-08-21,222616
2004-09-03,222599
2004-09-16,222673
2004-09-29,222748
2004-10-12,222925
2004-10-25,222826
2004-11-07,222778
2004-11-20,222788
2004-12-03,223205
2004-12-16,223054
2004-12-29,223423
