Date,Price
2000-01-01,278123
2000-01-15,276728
2000-01-28,277997
2000-02-10,277093
2000-02-23,279514
2000-03-07,281627
2000-03-20,281814
2000-04-02,281588
2000-04-15,284366
2000-04-28,284831
2000-05-11,284740
2000-05-24,286495
2000-06-06,286723
2000-06-19,287568
2000-07-02,290561
2000-07-15,289168
2000-07-28,289852
2000-08-10,290133
2000-08-23,291340
2000-09-05,292242
2000-09-18,293577
2000-10-01,295477
2000-10-14,296705
2000-10-27,297266
2000-11-09,298059
2000-11-22,299386
2000-12-05,298890
2000-12-18,298645
2000-12-31,299763
2001-01-13,299621
2001-01-26,299459
2001-02-08,301793
2001-02-21,302420
2001-03-06,303758
2001-03-19,304534
2001-04-01,304900
2001-04-14,304989
2001-04-27,305519
2001-05-10,307090
2001-05-23,307493
2001-06-06,309014
2001-06-19,309921
2001-07-02,309407
2001-07-15,311058
2001-07-28,311652
2001-08-10,312497
2001-08-23,313492
2001-09-05,314943
2001-09-18,314900
2001-10-01,315200
2001-10-14,316711
2001-10-27,317595
2001-11-09,317834
2001-11-22,318115
2001-12-05,318279
2001-12-18,318733
2001-12-31,319038
2002-01-13,319593
2002-01-26,320613
2002-02-08,323167
2002-02-21,324553
2002-03-06,324408
2002-03-19,324994
2002-04-01,327858
2002-04-14,328904
2002-04-27,331729
2002-05-10,332873
2002-05-23,330559
2002-06-05,332977
2002-06-18,333711
2002-07-01,334101
2002-07-14,335526
2002-07-27,337162
2002-08-09,336977
2002-08-22,338596
2002-09-04,338192
2002-09-17,338933
2002-09-30,341038
2002-10-13,341252
2002-10-26,342212
2002-11-09,345086
2002-11-22,344374
2002-12-05,346564
2002-12-18,346761
2002-12-31,346275
2003-01-13,345888
2003-01-26,345711
2003-02-08,347649
2003-02-21,348223
2003-03-06,353155
2003-03-19,354640
2003-04-01,353845
2003-04-14,353961
2003-04-27,353667
2003-05-10,355837
2003-05-23,358369
2003-06-05,359300
2003-06-18,361556
2003-07-01,364776
2003-07-14,365431
2003-07-27,366339
2003-08-09,367178
2003-08-22,367841
2003-09-04,368305
2003-09-17,369086
2003-09-30,368761
2003-10-13,370249
2003-10-26,370183
2003-11-08,370027
2003-11-21,372541
2003-12-04,372670
2003-12-17,374271
2003-12-30,374294
2004-01-12,375822
2004-01-25,375399
2004-02-07,376380
2004-02-20,376518
2004-03-04,378707
2004-03-17,380310
2004-03-31,380469
2004-04-13,381754
2004-04-26,384040
2004-05-09,383120
2004-05-22,384078
2004-06-04,383340
2004-06-17,385272
2004-06-30,386485
2004-07-13,385633
2004-07-26,387250
2004-08-08,386439
2004-08-21,387687
2004-09-03,388403
2004-09-16,390091
2004-09-29,391698
2004-10-12,392887
2004-10-25,392574
2004-11-07,391850
2004-11-20,393170
2004-12-03,394543
2004-12-16,394192
2004-12-29,394967
2005-01-11,394799
2005-01-24,396664
2005-02-06,398132
2005-02-19,399047
2005-03-04,399264
2005-03-17,401297
2005-03-30,403892
2005-04-12,403761
2005-04-25,404607
2005-05-08,403157
2005-05-21,405472
2005-06-03,405555
2005-06-16,406949
2005-06-29,406616
2005-07-12,406993
2005-07-25,409600
2005-08-07,411886
2005-08-20,411755
2005-09-03,411235
2005-09-16,411429
2005-09-29,412065
2005-10-12,412523
2005-10-25,412614
2005-11-07,413156
2005-11-20,417076
2005-12-03,417690
2005-12-16,419127
2005-12-29,419047
2006-01-11,419930
2006-01-24,419951
2006-02-06,418712
2006-02-19,419906
2006-03-04,420997
2006-03-17,421319
2006-03-30,421757
2006-04-12,423435
2006-04-25,424224
2006-05-08,427565
2006-05-21,426945
2006-06-03,430751
2006-06-16,430810
2006-06-29,432631
2006-07-12,433698
2006-07-25,435064
2006-08-07,434999
2006-08-20,435494
2006-09-02,436396
2006-09-15,436659
2006-09-28,436038
2006-10-11,438985
2006-10-24,439991
2006-11-06,440559
2006-11-19,440599
2006-12-02,441214
2006-12-15,442531
2006-12-28,443215
2007-01-10,442935
2007-01-24,444164
2007-02-06,445239
2007-02-19,445859
2007-03-04,446593
2007-03-17,447144
2007-03-30,448577
