Date,Price
2000-01-01,214747
2000-01-15,215084
2000-01-28,215827
2000-02-10,216523
2000-02-23,216896
2000-03-07,217954
2000-03-20,218682
2000-04-02,219193
2000-04-15,220382
2000-04-28,220827
2000-05-11,221624
2000-05-24,222400
2000-06-06,223366
2000-06-19,224415
2000-07-02,224963
2000-07-15,225176
2000-07-28,226025
2000-08-10,226338
2000-08-23,227316
2000-09-05,227963
2000-09-18,228218
2000-10-01,229051
2000-10-14,229662
2000-10-27,229919
2000-11-09,231206
2000-11-22,231750
2000-12-05,232415
2000-12-18,232637
2000-12-31,232767
2001-01-13,232594
2001-01-26,233367
2001-02-08,233908
2001-02-21,234576
2001-03-06,234901
2001-03-19,235767
2001-04-01,236866
2001-04-14,238515
2001-04-27,238442
2001-05-10,238410
2001-05-23,238371
2001-06-06,240124
2001-06-19,240290
2001-07-02,240438
2001-07-15,240430
2001-07-28,240649
2001-08-10,241408
2001-08-23,241569
2001-09-05,242078
2001-09-18,242978
2001-10-01,243511
2001-10-14,243888
2001-10-27,244414
2001-11-09,245061
2001-11-22,245388
2001-12-05,245596
2001-12-18,245855
2001-12-31,246179
2002-01-13,246166
2002-01-26,246063
2002-02-08,247825
2002-02-21,248845
2002-03-06,249509
2002-03-19,249526
2002-04-01,250415
2002-04-14,251431
2002-04-27,252334
2002-05-10,253731
2002-05-23,254007
2002-06-05,254851
2002-06-18,255285
2002-07-01,256190
2002-07-14,257980
2002-07-27,257477
2002-08-09,257945
2002-08-22,259303
2002-09-04,259603
2002-09-17,260352
2002-09-30,260746
2002-10-13,260670
2002-10-26,261407
2002-11-09,263011
2002-11-22,264300
2002-12-05,265112
2002-12-18,265479
2002-12-31,266174
2003-01-13,266511
2003-01-26,267072
2003-02-08,268219
2003-02-21,269693
2003-03-06,269813
2003-03-19,271276
2003-04-01,272081
2003-04-14,272755
2003-04-27,273799
2003-05-10,274661
2003-05-23,275515
2003-06-05,275915
2003-06-18,276585
2003-07-01,277988
2003-07-14,278007
2003-07-27,279586
2003-08-09,280363
2003-08-22,281341
2003-09-04,281513
2003-09-17,283001
2003-09-30,282419
2003-10-13,282965
2003-10-26,283541
2003-11-08,284388
2003-11-21,285576
2003-12-04,285736
2003-12-17,286168
2003-12-30,286262
2004-01-12,286238
2004-01-25,285996
2004-02-07,286447
2004-02-20,286794
2004-03-04,288611
2004-03-17,289671
2004-03-31,290628
2004-04-13,290836
2004-04-26,290924
2004-05-09,291179
2004-05-22,291797
2004-06-04,292511
2004-06-17,293254
2004-06-30,293456
2004-07-13,293959
2004-07-26,295135
2004-08-08,295482
2004-08-21,295673
2004-09-03,295877
2004-09-16,296128
2004-09-29,297308
2004-10-12,297635
2004-10-25,298768
2004-11-07,299215
2004-11-20,299903
2004-12-03,300320
2004-12-16,300854
2004-12-29,300863
2005-01-11,301421
2005-01-24,301692
2005-02-06,302039
2005-02-19,302489
2005-03-04,303031
2005-03-17,303857
2005-03-30,304251
2005-04-12,305053
2005-04-25,305381
2005-05-08,306197
2005-05-21,307049
2005-06-03,307170
2005-06-16,307104
2005-06-29,308140
2005-07-12,308827
2005-07-25,308240
2005-08-07,309374
2005-08-20,310511
2005-09-03,310948
2005-09-16,311693
2005-09-29,311698
2005-10-12,313207
2005-10-25,313268
2005-11-07,313409
2005-11-20,314010
2005-12-03,314267
2005-12-16,315149
2005-12-29,315606
2006-01-11,315650
2006-01-24,315601
2006-02-06,315553
2006-02-19,315713
2006-03-04,317490
2006-03-17,316970
2006-03-30,318759
2006-04-12,319935
2006-04-25,319700
2006-05-08,319917
2006-05-21,320906
2006-06-03,321703
2006-06-16,321274
2006-06-29,321989
2006-07-12,323658
2006-07-25,324435
2006-08-07,325034
2006-08-20,325178
2006-09-02,325368
2006-09-15,325815
2006-09-28,326124
2006-10-11,326817
2006-10-24,327320
2006-11-06,328042
2006-11-19,327865
2006-12-02,327974
2006-12-15,328332
2006-12-28,328737
2007-01-10,329085
2007-01-24,330164
2007-02-06,330549
2007-02-19,330802
2007-03-04,330679
2007-03-17,331917
2007-03-30,332493
2007-04-12,332154
2007-04-25,332209
2007-05-08,333630
2007-05-21,334732
2007-06-03,335714
2007-06-16,336856
2007-06-29,338845
2007-07-12,339502
2007-07-25,340541
2007-08-07,339309
2007-08-20,340639
2007-09-02,340860
2007-09-15,340741
2007-09-28,342410
2007-10-11,342109
2007-10-24,342166
2007-11-06,343690
2007-11-19,345028
2007-12-02,345811
2007-12-15,347701
2007-12-28,348075
2008-01-10,347526
2008-01-23,347573
2008-02-05,348277
2008-02-18,347976
2008-03-02,347465
2008-03-15,348568
2008-03-28,348193
2008-04-10,349230
2008-04-23,349450
2008-05-06,349664
2008-05-19,350308
2008-06-01,350537
2008-06-14,351757
2008-06-28,351928
2008-07-11,350995
2008-07-24,351654
2008-08-06,353689
2008-08-19,354741
2008-09-01,355127
2008-09-14,356187
2008-09-27,355892
2008-10-10,356246
2008-10-23,357691
2008-11-05,357370
2008-11-18,356461
2008-12-01,356899
2008-12-14,356701
2008-12-27,357289
2009-01-09,358052
2009-01-22,358998
2009-02-04,359915
2009-02-17,360513
2009-03-02,361545
2009-03-15,361289
2009-03-28,362952
2009-04-10,363311
2009-04-23,364549
2009-05-06,365239
2009-05-19,364269
2009-06-01,365807
2009-06-14,366961
2009-06-27,368598
2009-07-10,370525
2009-07-23,371273
2009-08-05,372748
2009-08-18,372806
2009-08-31,373097
2009-09-13,373115
2009-09-26,374486
2009-10-09,376823
2009-10-22,377901
2009-11-04,380305
2009-11-17,383413
2009-12-01,388690
2009-12-14,387966
2009-12-27,387474
2010-01-09,387586
2010-01-22,389308
2010-02-04,389358
2010-02-17,390280
2010-03-02,392633
2010-03-15,394186
2010-03-28,395299
2010-04-10,397612
2010-04-23,399445
2010-05-06,401353
2010-05-19,403190
2010-06-01,404269
2010-06-14,406348
2010-06-27,408523
2010-07-10,409764
2010-07-23,411294
2010-08-05,413253
2010-08-18,414220
2010-08-31,415367
2010-09-13,416394
2010-09-26,418867
2010-10-09,420213
2010-10-22,421522
2010-11-04,422235
2010-11-17,422530
2010-11-30,421487
2010-12-13,423904
2010-12-26,426059
2011-01-08,426514
2011-01-21,428410
2011-02-03,428938
2011-02-16,430222
2011-03-01,430918
2011-03-14,432902
2011-03-27,435459
2011-04-09,434399
2011-04-23,437714
2011-05-06,439597
2011-05-19,440999
2011-06-01,444884
2011-06-14,444865
2011-06-27,445251
2011-07-10,445912
2011-07-23,447959
2011-08-05,448735
2011-08-18,451246
2011-08-31,451556
2011-09-13,453052
2011-09-26,454688
2011-10-09,455121
2011-10-22,456251
2011-11-04,457892
2011-11-17,460120
2011-11-30,460428
2011-12-13,461267
2011-12-26,462045
2012-01-08,462186
2012-01-21,462179
2012-02-03,463245
2012-02-16,465124
2012-02-29,463431
2012-03-13,466142
2012-03-26,467651
2012-04-08,470556
2012-04-21,470301
2012-05-04,472230
2012-05-17,475645
2012-05-30,477656
2012-06-12,478486
2012-06-25,479803
2012-07-08,478944
2012-07-21,479711
2012-08-03,480403
2012-08-16,481107
2012-08-29,483226
2012-09-11,484500
2012-09-25,484391
2012-10-08,485947
2012-10-21,488117
2012-11-03,487771
2012-11-16,489830
2012-11-29,490479
2012-12-12,492432
2012-12-25,493148
2013-01-07,494057
2013-01-20,494631
2013-02-02,495796
2013-02-15,495785
2013-02-28,497348
2013-03-13,498527
2013-03-26,500842
2013-04-08,501314
2013-04-21,502121
2013-05-04,503568
