Date,Price
2000-01-01,160864
2000-01-15,161134
2000-01-28,161492
2000-02-10,161786
2000-02-23,161868
2000-03-07,162241
2000-03-20,162788
2000-04-02,163543
2000-04-15,163439
2000-04-28,164944
2000-05-11,165608
2000-05-24,166340
2000-06-06,165816
2000-06-19,166452
2000-07-02,166996
2000-07-15,166653
2000-07-28,168333
2000-08-10,168730
2000-08-23,168563
2000-09-05,168540
2000-09-18,168795
2000-10-01,168851
2000-10-14,169153
2000-10-27,169295
2000-11-09,169547
2000-11-22,170382
2000-12-05,170889
2000-12-18,171352
2000-12-31,171264
2001-01-13,171460
2001-01-26,172560
2001-02-08,172629
2001-02-21,172479
2001-03-06,173283
2001-03-19,173317
2001-04-01,174300
2001-04-14,175739
2001-04-27,175468
2001-05-10,176985
2001-05-23,176753
2001-06-06,177210
2001-06-19,176814
2001-07-02,177203
2001-07-15,177341
2001-07-28,176988
2001-08-10,177259
2001-08-23,179109
2001-09-05,179370
2001-09-18,179503
2001-10-01,179593
2001-10-14,179829
2001-10-27,179704
2001-11-09,179982
2001-11-22,180299
2001-12-05,180746
2001-12-18,181462
2001-12-31,181398
2002-01-13,181154
2002-01-26,180957
2002-02-08,181511
2002-02-21,182532
2002-03-06,182052
2002-03-19,183719
2002-04-01,184694
2002-04-14,184783
2002-04-27,186287
2002-05-10,186255
2002-05-23,186455
2002-06-05,187082
2002-06-18,187344
2002-07-01,188357
2002-07-14,189024
2002-07-27,190294
2002-08-09,190340
2002-08-22,190161
2002-09-04,190561
2002-09-17,190825
2002-09-30,191159
2002-10-13,191753
2002-10-26,192262
2002-11-09,193217
2002-11-22,193191
2002-12-05,194660
2002-12-18,194887
2002-12-31,195258
2003-01-13,195668
2003-01-26,196562
2003-02-08,197367
2003-02-21,198414
2003-03-06,199158
2003-03-19,199317
2003-04-01,200345
2003-04-14,200624
2003-04-27,201216
2003-05-10,201925
2003-05-23,202598
2003-06-05,203155
2003-06-18,203814
2003-07-01,204249
2003-07-14,204791
2003-07-27,205783
2003-08-09,206830
2003-08-22,207616
2003-09-04,208036
2003-09-17,208594
2003-09-30,208955
2003-10-13,209101
2003-10-26,209810
2003-11-08,210238
2003-11-21,211026
2003-12-04,211330
2003-12-17,211963
2003-12-30,212070
2004-01-12,212348
2004-01-25,212609
2004-02-07,213371
2004-02-20,214188
2004-03-04,214439
2004-03-17,215055
2004-03-31,215554
2004-04-13,215688
2004-04-26,216186
2004-05-09,217195
2004-05-22,218010
2004-06-04,218675
2004-06-17,218273
2004-06-30,218947
2004-07-13,220139
2004-07-26,220228
2004-08-08,220835
2004-08-21,221177
2004-09-03,221606
2004-09-16,221617
2004-09-29,222252
2004-10-12,222445
2004-10-25,223077
2004-11-07,224001
2004-11-20,224870
2004-12-03,224941
