Date,Price
2000-01-01,128791
2000-01-15,129092
2000-01-28,129842
2000-02-10,130404
2000-02-23,130875
2000-03-07,130857
2000-03-20,131439
2000-04-02,132166
2000-04-15,133197
2000-04-28,133585
2000-05-11,134417
2000-05-24,134678
2000-06-06,135343
2000-06-19,135456
2000-07-02,136398
2000-07-15,136423
2000-07-28,136518
2000-08-10,137004
2000-08-23,137555
2000-09-05,137580
2000-09-18,138002
2000-10-01,138308
2000-10-14,138944
2000-10-27,139466
2000-11-09,140003
2000-11-22,140196
2000-12-05,140485
2000-12-18,140713
2000-12-31,140564
2001-01-13,140934
2001-01-26,140985
2001-02-08,141528
2001-02-21,142093
2001-03-06,142651
2001-03-19,143052
2001-04-01,143210
2001-04-14,143406
2001-04-27,143445
2001-05-10,144580
2001-05-23,145040
2001-06-06,145264
2001-06-19,145843
2001-07-02,146242
2001-07-15,147420
2001-07-28,147688
2001-08-10,147948
2001-08-23,148145
2001-09-05,148563
2001-09-18,148540
2001-10-01,149064
2001-10-14,149016
2001-10-27,149614
2001-11-09,149907
2001-11-22,150280
2001-12-05,150644
2001-12-18,151079
2001-12-31,151503
2002-01-13,151579
2002-01-26,152062
2002-02-08,152756
2002-02-21,153279
2002-03-06,153745
2002-03-19,154110
2002-04-01,154677
2002-04-14,154979
2002-04-27,155631
2002-05-10,155674
2002-05-23,155767
2002-06-05,156618
2002-06-18,156818
2002-07-01,157025
2002-07-14,157572
2002-07-27,157567
2002-08-09,157783
2002-08-22,158146
2002-09-04,158510
2002-09-17,159221
2002-09-30,159793
2002-10-13,160358
2002-10-26,160487
2002-11-09,160762
2002-11-22,160796
2002-12-05,161067
2002-12-18,160992
2002-12-31,161332
2003-01-13,161785
2003-01-26,161920
2003-02-08,162162
2003-02-21,162376
2003-03-06,162670
2003-03-19,162798
2003-04-01,163294
2003-04-14,163917
2003-04-27,164274
2003-05-10,164017
2003-05-23,164513
2003-06-05,163951
2003-06-18,164125
2003-07-01,164429
2003-07-14,163742
2003-07-27,164484
2003-08-09,165216
2003-08-22,165214
2003-09-04,165423
2003-09-17,165361
2003-09-30,165274
2003-10-13,165230
2003-10-26,165268
2003-11-08,165429
2003-11-21,165752
2003-12-04,165743
2003-12-17,166346
2003-12-30,165952
2004-01-12,165991
2004-01-25,166282
2004-02-07,166882
2004-02-20,166956
2004-03-04,166880
2004-03-17,167417
2004-03-31,167468
2004-04-13,167406
2004-04-26,167490
2004-05-09,167928
2004-05-22,168225
2004-06-04,168171
2004-06-17,168531
2004-06-30,169201
2004-07-13,169422
2004-07-26,169698
2004-08-08,169774
2004-08-21,169772
2004-09-03,169892
2004-09-16,170018
2004-09-29,170137
2004-10-12,170443
2004-10-25,170551
2004-11-07,170731
2004-11-20,170844
2004-12-03,171310
2004-12-16,171267
2004-12-29,171674
2005-01-11,171622
2005-01-24,171797
2005-02-06,172280
2005-02-19,172447
2005-03-04,172799
2005-03-17,172869
2005-03-30,173285
2005-04-12,173819
2005-04-25,174076
2005-05-08,174036
2005-05-21,174258
2005-06-03,174487
2005-06-16,174988
2005-06-29,175510
2005-07-12,175325
2005-07-25,175486
2005-08-07,175690
2005-08-20,175950
2005-09-03,176316
2005-09-16,176717
2005-09-29,176829
2005-10-12,177190
2005-10-25,177872
2005-11-07,177775
2005-11-20,178063
2005-12-03,178005
2005-12-16,178189
2005-12-29,178285
2006-01-11,178571
2006-01-24,178753
2006-02-06,179074
