Date,Price
2000-01-01,200356
2000-01-15,200771
2000-01-28,201442
2000-02-10,202199
2000-02-23,202433
2000-03-07,203419
2000-03-20,204136
2000-04-02,204633
2000-04-15,205512
2000-04-28,205609
2000-05-11,206051
2000-05-24,206355
2000-06-06,207008
2000-06-19,207762
2000-07-02,207915
2000-07-15,208055
2000-07-28,208589
2000-08-10,208559
2000-08-23,209176
2000-09-05,209513
2000-09-18,209459
2000-10-01,210073
2000-10-14,210489
2000-10-27,210537
2000-11-09,211601
2000-11-22,211847
2000-12-05,212350
2000-12-18,212429
2000-12-31,212413
2001-01-13,212117
2001-01-26,212737
2001-02-08,212974
2001-02-21,213441
2001-03-06,213504
2001-03-19,214227
2001-04-01,215230
2001-04-14,216803
2001-04-27,216632
2001-05-10,216330
2001-05-23,216176
2001-06-06,217794
2001-06-19,217857
2001-07-02,218012
2001-07-15,217904
2001-07-28,218152
2001-08-10,218927
2001-08-23,219024
2001-09-05,219493
2001-09-18,220446
2001-10-01,220958
2001-10-14,221282
2001-10-27,221792
2001-11-09,222467
2001-11-22,222811
2001-12-05,223030
2001-12-18,223260
2001-12-31,223645
2002-01-13,223711
2002-01-26,223673
2002-02-08,225451
2002-02-21,226506
2002-03-06,227302
2002-03-19,227283
2002-04-01,228005
2002-04-14,228910
2002-04-27,229498
2002-05-10,230729
2002-05-23,230960
2002-06-05,231493
2002-06-18,231764
2002-07-01,232553
2002-07-14,234280
2002-07-27,233642
2002-08-09,234144
2002-08-22,235471
2002-09-04,235793
2002-09-17,236499
2002-09-30,236791
2002-10-13,236660
2002-10-26,237344
2002-11-09,238785
2002-11-22,240137
2002-12-05,240767
2002-12-18,241079
2002-12-31,241814
2003-01-13,242184
2003-01-26,242784
2003-02-08,243881
2003-02-21,245381
2003-03-06,245235
2003-03-19,246666
2003-04-01,247524
2003-04-14,248249
2003-04-27,249411
2003-05-10,250285
2003-05-23,251095
2003-06-05,251553
2003-06-18,252171
2003-07-01,253354
2003-07-14,253256
2003-07-27,254664
2003-08-09,255232
2003-08-22,256066
2003-09-04,256102
2003-09-17,257535
2003-09-30,256972
2003-10-13,257498
2003-10-26,258130
2003-11-08,259054
2003-11-21,260148
2003-12-04,260327
2003-12-17,260665
2003-12-30,260815
2004-01-12,260746
2004-01-25,260561
2004-02-07,260980
2004-02-20,261346
2004-03-04,263131
2004-03-17,264186
2004-03-31,265269
2004-04-13,265546
2004-04-26,265623
2004-05-09,265999
2004-05-22,266620
2004-06-04,267422
2004-06-17,268064
2004-06-30,268225
2004-07-13,268846
2004-07-26,270083
2004-08-08,270582
2004-08-21,270791
2004-09-03,271005
2004-09-16,271280
2004-09-29,272556
2004-10-12,273025
2004-10-25,274438
2004-11-07,275126
2004-11-20,275906
2004-12-03,276351
2004-12-16,276952
2004-12-29,276984
2005-01-11,277733
2005-01-24,278057
2005-02-06,278449
2005-02-19,278990
2005-03-04,279616
2005-03-17,280452
2005-03-30,280836
2005-04-12,281808
2005-04-25,282298
2005-05-08,283424
2005-05-21,284289
2005-06-03,284489
2005-06-16,284361
2005-06-29,285476
2005-07-12,286332
2005-07-25,285646
2005-08-07,286794
2005-08-20,288039
2005-09-03,288581
2005-09-16,289388
2005-09-29,289430
2005-10-12,291056
2005-10-25,291193
2005-11-07,291400
2005-11-20,291798
2005-12-03,292044
2005-12-16,293052
2005-12-29,293764
2006-01-11,293988
2006-01-24,294222
2006-02-06,294510
2006-02-19,294723
2006-03-04,296671
2006-03-17,296092
2006-03-30,297997
2006-04-12,299149
2006-04-25,298814
2006-05-08,298757
2006-05-21,299836
2006-06-03,300392
2006-06-16,300119
2006-06-29,301067
2006-07-12,303156
2006-07-25,304229
2006-08-07,305191
2006-08-20,305530
2006-09-02,305795
2006-09-15,306412
2006-09-28,307061
2006-10-11,307951
2006-10-24,308774
2006-11-06,309841
2006-11-19,309879
2006-12-02,310092
2006-12-15,310499
2006-12-28,311041
2007-01-10,311644
2007-01-24,312953
2007-02-06,313517
2007-02-19,313895
2007-03-04,313825
2007-03-17,315076
2007-03-30,315651
2007-04-12,315274
2007-04-25,315123
2007-05-08,316662
2007-05-21,317662
2007-06-03,318583
2007-06-16,319815
2007-06-29,321823
2007-07-12,322372
2007-07-25,323500
2007-08-07,322093
2007-08-20,323349
2007-09-02,323506
2007-09-15,323140
2007-09-28,324654
2007-10-11,324274
2007-10-24,324097
2007-11-06,325388
2007-11-19,326480
2007-12-02,327163
2007-12-15,329050
2007-12-28,329431
2008-01-10,328930
2008-01-23,328905
2008-02-05,329439
