Date,Price
2000-01-01,186570
2000-01-15,186763
2000-01-28,187255
2000-02-10,187532
2000-02-23,187807
2000-03-07,188348
2000-03-20,188939
2000-04-02,189697
2000-04-15,189883
2000-04-28,191378
2000-05-11,192076
2000-05-24,192933
2000-06-06,192526
2000-06-19,193238
2000-07-02,194072
2000-07-15,194044
2000-07-28,196282
2000-08-10,197400
2000-08-23,198104
2000-09-05,198809
2000-09-18,199656
2000-10-01,200213
2000-10-14,201002
2000-10-27,201720
2000-11-09,202714
2000-11-22,204283
2000-12-05,205343
2000-12-18,206212
2000-12-31,206460
2001-01-13,207005
2001-01-26,208625
2001-02-08,209479
2001-02-21,210018
2001-03-06,211467
2001-03-19,211982
2001-04-01,213247
2001-04-14,214934
2001-04-27,214876
2001-05-10,216792
2001-05-23,216819
2001-06-06,217666
2001-06-19,217477
2001-07-02,217923
2001-07-15,218244
2001-07-28,217973
2001-08-10,218383
2001-08-23,220389
2001-09-05,220807
2001-09-18,220990
2001-10-01,221143
2001-10-14,221481
2001-10-27,221441
2001-11-09,221762
2001-11-22,222111
2001-12-05,222583
2001-12-18,223355
2001-12-31,223329
2002-01-13,223173
2002-01-26,223136
2002-02-08,224077
2002-02-21,225393
2002-03-06,225040
2002-03-19,226884
2002-04-01,228123
2002-04-14,228394
2002-04-27,230282
2002-05-10,230522
2002-05-23,230762
2002-06-05,231777
2002-06-18,232234
2002-07-01,233464
2002-07-14,234411
2002-07-27,235887
2002-08-09,236053
2002-08-22,236138
2002-09-04,236630
2002-09-17,237063
2002-09-30,237560
2002-10-13,238198
2002-10-26,238814
2002-11-09,240058
2002-11-22,240049
2002-12-05,241752
2002-12-18,242036
2002-12-31,242403
2003-01-13,242790
2003-01-26,243668
2003-02-08,244609
2003-02-21,245727
2003-03-06,246763
2003-03-19,247029
2003-04-01,247930
2003-04-14,248049
2003-04-27,248410
2003-05-10,248993
2003-05-23,249628
2003-06-05,250032
2003-06-18,250729
2003-07-01,251250
2003-07-14,251515
2003-07-27,252325
2003-08-09,253132
2003-08-22,253677
2003-09-04,253894
2003-09-17,254400
2003-09-30,254534
2003-10-13,254557
2003-10-26,254997
2003-11-08,255160
2003-11-21,255919
2003-12-04,256038
2003-12-17,256647
2003-12-30,256418
2004-01-12,256352
2004-01-25,256059
2004-02-07,256394
2004-02-20,256767
2004-03-04,256897
2004-03-17,257486
2004-03-31,257806
2004-04-13,257739
2004-04-26,258050
2004-05-09,258674
2004-05-22,259291
2004-06-04,259712
2004-06-17,259374
2004-06-30,260025
2004-07-13,260994
2004-07-26,261072
2004-08-08,261448
2004-08-21,261723
2004-09-03,262095
2004-09-16,262191
2004-09-29,262883
2004-10-12,263056
2004-10-25,263561
2004-11-07,264287
2004-11-20,265123
2004-12-03,265229
2004-12-16,265694
2004-12-29,266147
2005-01-11,265818
2005-01-24,266047
2005-02-06,266703
2005-02-19,266658
2005-03-04,266704
2005-03-17,267583
2005-03-30,267885
2005-04-12,269065
2005-04-25,269000
2005-05-08,269093
2005-05-21,269954
2005-06-03,269984
2005-06-16,270254
2005-06-29,272211
2005-07-12,271739
2005-07-25,272671
2005-08-07,273517
2005-08-20,274741
2005-09-03,274771
2005-09-16,275234
2005-09-29,275489
2005-10-12,276723
2005-10-25,276848
2005-11-07,277103
2005-11-20,278711
2005-12-03,279392
2005-12-16,279220
2005-12-29,279303
2006-01-11,280377
2006-01-24,280514
2006-02-06,280236
2006-02-19,281615
2006-03-04,282290
2006-03-17,282752
2006-03-30,283277
2006-04-12,283719
2006-04-25,284573
2006-05-08,286167
2006-05-21,286520
2006-06-03,287152
2006-06-16,287607
2006-06-29,288011
2006-07-12,288416
2006-07-25,289885
2006-08-07,290438
2006-08-20,291474
2006-09-02,291745
2006-09-15,292500
2006-09-28,292932
2006-10-11,293520
2006-10-24,294544
2006-11-06,294069
2006-11-19,294251
2006-12-02,294037
2006-12-15,294311
2006-12-28,295446
2007-01-10,295840
2007-01-24,296793
2007-02-06,296886
2007-02-19,297313
2007-03-04,297335
2007-03-17,298691
2007-03-30,298096
2007-04-12,298396
2007-04-25,299014
2007-05-08,297988
2007-05-21,300592
2007-06-03,301682
2007-06-16,302146
2007-06-29,303482
2007-07-12,303624
2007-07-25,303404
2007-08-07,302671
2007-08-20,303357
2007-09-02,304326
2007-09-15,305163
2007-09-28,306072
2007-10-11,306198
2007-10-24,306109
2007-11-06,306320
2007-11-19,307286
2007-12-02,308237
2007-12-15,309150
2007-12-28,309464
2008-01-10,309244
2008-01-23,309406
2008-02-05,309883
2008-02-18,310090
2008-03-02,309693
2008-03-15,310133
2008-03-28,310742
2008-04-10,311873
2008-04-23,311814
2008-05-06,311622
2008-05-19,311619
2008-06-01,311069
2008-06-14,312037
2008-06-28,311914
2008-07-11,312066
2008-07-24,312148
2008-08-06,312465
2008-08-19,313060
2008-09-01,313205
2008-09-14,313569
2008-09-27,313347
2008-10-10,312707
2008-10-23,312449
2008-11-05,312599
2008-11-18,312598
2008-12-01,312845
2008-12-14,313256
2008-12-27,313073
2009-01-09,313116
2009-01-22,313642
2009-02-04,313361
2009-02-17,312345
2009-03-02,312968
2009-03-15,312550
2009-03-28,312423
2009-04-10,312295
2009-04-23,312705
2009-05-06,313378
2009-05-19,314244
2009-06-01,314306
2009-06-14,314632
2009-06-27,315455
2009-07-10,316967
2009-07-23,318461
2009-08-05,318420
2009-08-18,318780
2009-08-31,318764
2009-09-13,319488
2009-09-26,320996
2009-10-09,321920
2009-10-22,321933
2009-11-04,323374
2009-11-17,324151
2009-12-01,325486
2009-12-14,326021
2009-12-27,325763
2010-01-09,325811
2010-01-22,326772
2010-02-04,328141
2010-02-17,328675
2010-03-02,329991
2010-03-15,331030
2010-03-28,330522
2010-04-10,331849
2010-04-23,333541
2010-05-06,334351
2010-05-19,335499
2010-06-01,336766
2010-06-14,338133
2010-06-27,339634
2010-07-10,339624
2010-07-23,339365
2010-08-05,340547
2010-08-18,341608
2010-08-31,342717
2010-09-13,343921
2010-09-26,344297
2010-10-09,344086
2010-10-22,345689
2010-11-04,345114
2010-11-17,346514
2010-11-30,346285
2010-12-13,347642
2010-12-26,347950
2011-01-08,348004
2011-01-21,348451
2011-02-03,348624
2011-02-16,348791
2011-03-01,350379
2011-03-14,352114
2011-03-27,355234
2011-04-09,356155
2011-04-23,357907
2011-05-06,358921
2011-05-19,359640
2011-06-01,361783
2011-06-14,362273
2011-06-27,364375
2011-07-10,366472
2011-07-23,368074
2011-08-05,368363
2011-08-18,368897
2011-08-31,370688
2011-09-13,371421
2011-09-26,372933
2011-10-09,374559
2011-10-22,376030
2011-11-04,377293
2011-11-17,377458
2011-11-30,376949
2011-12-13,378998
2011-12-26,380125
2012-01-08,381177
2012-01-21,381415
2012-02-03,382026
2012-02-16,384472
2012-02-29,383877
2012-03-13,385818
2012-03-26,388064
2012-04-08,390004
2012-04-21,389327
2012-05-04,392015
2012-05-17,394337
2012-05-30,396425
2012-06-12,397190
2012-06-25,397979
2012-07-08,398783
2012-07-21,398698
2012-08-03,398810
2012-08-16,399729
2012-08-29,401721
2012-09-11,403261
2012-09-25,403261
2012-10-08,402963
2012-10-21,404842
2012-11-03,405146
2012-11-16,407362
2012-11-29,408532
2012-12-12,408986
2012-12-25,409057
2013-01-07,408208
2013-01-20,409160
2013-02-02,409932
2013-02-15,409984
2013-02-28,408451
2013-03-13,411588
2013-03-26,410803
2013-04-08,411144
2013-04-21,411545
2013-05-04,413354
2013-05-17,413550
2013-05-30,414055
2013-06-12,413971
2013-06-25,414780
2013-07-08,414332
2013-07-21,415693
2013-08-03,417186
2013-08-16,416687
2013-08-29,417524
2013-09-11,416886
2013-09-24,417867
2013-10-07,419731
2013-10-20,421026
2013-11-02,421512
2013-11-15,423091
2013-11-28,424276
2013-12-11,425401
2013-12-24,427144
2014-01-06,427861
2014-01-19,428076
2014-02-01,428605
2014-02-15,429409
2014-02-28,431283
2014-03-13,432066
2014-03-26,434286
2014-04-08,437056
2014-04-21,439999
2014-05-04,442079
2014-05-17,443620
2014-05-30,448160
2014-06-12,448535
2014-06-25,448955
2014-07-08,451135
2014-07-21,451668
2014-08-03,453411
2014-08-16,454356
2014-08-29,457942
2014-09-11,460493
2014-09-24,463235
2014-10-07,464604
2014-10-20,466175
2014-11-02,468184
2014-11-15,469190
2014-11-28,472673
2014-12-11,473332
2014-12-24,473995
2015-01-06,474093
2015-01-19,475254
2015-02-01,476758
2015-02-14,477208
2015-02-27,478643
2015-03-12,482207
2015-03-25,483960
2015-04-07,485699
2015-04-20,487870
2015-05-03,488516
2015-05-16,492349
2015-05-29,495185
2015-06-11,498593
2015-06-24,500699
2015-07-07,501488
2015-07-21,504881
2015-08-03,507629
2015-08-16,510991
2015-08-29,511065
2015-09-11,512353
2015-09-24,513853
2015-10-07,516055
2015-10-20,517440
2015-11-02,518034
2015-11-15,518631
2015-11-28,521033
2015-12-11,521303
2015-12-24,521774
2016-01-06,522260
2016-01-19,522223
2016-02-01,522982
2016-02-14,526325
2016-02-27,528354
2016-03-11,530941
2016-03-24,533041
2016-04-06,534642
2016-04-19,538716
2016-05-02,542236
2016-05-15,543600
2016-05-28,548496
2016-06-10,553924
2016-06-23,558048
2016-07-06,560317
2016-07-19,564094
2016-08-01,566781
2016-08-14,570299
2016-08-27,574208
2016-09-09,575644
2016-09-22,579827
2016-10-05,582991
2016-10-18,586778
2016-10-31,589658
2016-11-13,593446
2016-11-26,596244
2016-12-09,598955
2016-12-23,602722
2017-01-05,603758
2017-01-18,605887
2017-01-31,610520
2017-02-13,614876
2017-02-26,618360
2017-03-11,625118
2017-03-24,629210
2017-04-06,634612
2017-04-19,639108
2017-05-02,643424
2017-05-15,651947
2017-05-28,657453
2017-06-10,664702
2017-06-23,668287
2017-07-06,672132
2017-07-19,674216
2017-08-01,677607
2017-08-14,679639
2017-08-27,684200
2017-09-09,687406
2017-09-22,690420
2017-10-05,693478
2017-10-18,699108
2017-10-31,703374
2017-11-13,705336
2017-11-26,703119
2017-12-09,702745
2017-12-22,702695
2018-01-04,702511
2018-01-17,703865
2018-01-30,705013
2018-02-12,706180
2018-02-25,703612
2018-03-10,700216
2018-03-23,698025
2018-04-05,698209
2018-04-18,694523
2018-05-01,692747
2018-05-15,689822
2018-05-28,689164
2018-06-10,692994
2018-06-23,695497
2018-07-06,696165
2018-07-19,697066
2018-08-01,696953
2018-08-14,696988
2018-08-27,697368
2018-09-09,698027
2018-09-22,699700
2018-10-05,700971
2018-10-18,701732
2018-10-31,701130
2018-11-13,702539
2018-11-26,705949
2018-12-09,705841
2018-12-22,707386
2019-01-04,708456
2019-01-17,709117
2019-01-30,710625
2019-02-12,711194
2019-02-25,713547
2019-03-10,711652
2019-03-23,712717
2019-04-05,712599
2019-04-18,713453
2019-05-01,714814
2019-05-14,714509
2019-05-27,718632
2019-06-09,720298
2019-06-22,721565
2019-07-05,722154
2019-07-18,722229
2019-07-31,722660
2019-08-13,726518
2019-08-26,726919
2019-09-08,725614
2019-09-21,727301
2019-10-04,728345
2019-10-18,730903
2019-10-31,731577
2019-11-13,735033
2019-11-26,736831
2019-12-09,737738
2019-12-22,735745
2020-01-04,737230
2020-01-17,739872
2020-01-30,740502
2020-02-12,742477
2020-02-25,745705
2020-03-09,749367
2020-03-22,752242
2020-04-04,752837
2020-04-17,754708
2020-04-30,756912
2020-05-13,756388
2020-05-26,755343
2020-06-08,756202
2020-06-21,762236
2020-07-04,766002
2020-07-17,774098
2020-07-30,779915
2020-08-12,784352
2020-08-25,788185
2020-09-07,792916
2020-09-20,794156
2020-10-03,799492
2020-10-16,800529
2020-10-29,802312
2020-11-11,804403
2020-11-24,807069
2020-12-07,809518
2020-12-20,811012
2021-01-02,811381
2021-01-15,811828
2021-01-28,815300
2021-02-10,819176
2021-02-23,821638
2021-03-09,826438
2021-03-22,835469
2021-04-04,843022
2021-04-17,845777
2021-04-30,850999
2021-05-13,853759
2021-05-26,858506
2021-06-08,860943
2021-06-21,861821
2021-07-04,864018
2021-07-17,867163
2021-07-30,867735
2021-08-12,872640
2021-08-25,874255
2021-09-07,873748
2021-09-20,877687
2021-10-03,884965
2021-10-16,892748
2021-10-29,899127
2021-11-11,903966
2021-11-24,908946
2021-12-07,913296
2021-12-20,917583
2022-01-02,920974
2022-01-15,924711
2022-01-28,929854
2022-02-10,936311
2022-02-23,943868
2022-03-08,948984
2022-03-21,954214
2022-04-03,958258
2022-04-16,967338
2022-04-29,972437
2022-05-12,976234
2022-05-25,982915
2022-06-07,986519
2022-06-20,989471
2022-07-03,995413
2022-07-16,1000258
2022-07-29,1003320
2022-08-12,1004184
2022-08-25,1008227
2022-09-07,1010215
2022-09-20,1012036
2022-10-03,1013705
2022-10-16,1020220
2022-10-29,1021981
2022-11-11,1023464
2022-11-24,1025335
2022-12-07,1021974
2022-12-20,1022400
2023-01-02,1021504
2023-01-15,1017195
2023-01-28,1008250
2023-02-10,993870
2023-02-23,987100
2023-03-08,979989
2023-03-21,970577
2023-04-03,961276
2023-04-16,954914
2023-04-29,961687
2023-05-12,965278
2023-05-25,964815
2023-06-07,963991
2023-06-20,964070
2023-07-03,962857
2023-07-16,964530
2023-07-29,969422
2023-08-11,970796
2023-08-24,974252
2023-09-06,977413
2023-09-19,979281
2023-10-02,978977
2023-10-15,979293
2023-10-28,975978
2023-11-10,975931
2023-11-23,979823
2023-12-06,978265
2023-12-19,979242
