Date,Price
2000-01-01,161822
2000-01-15,162064
2000-01-28,162939
2000-02-10,163488
2000-02-23,164127
2000-03-07,164300
2000-03-20,164948
2000-04-02,165715
2000-04-15,166964
2000-04-28,167462
2000-05-11,168351
2000-05-24,168783
2000-06-06,169483
2000-06-19,169719
2000-07-02,170883
2000-07-15,170822
2000-07-28,171082
2000-08-10,171646
2000-08-23,172344
2000-09-05,172484
2000-09-18,173032
2000-10-01,173501
2000-10-14,174238
2000-10-27,174802
2000-11-09,175448
2000-11-22,175773
2000-12-05,176075
2000-12-18,176306
2000-12-31,176207
2001-01-13,176546
2001-01-26,176641
2001-02-08,177328
2001-02-21,177933
2001-03-06,178598
2001-03-19,179062
2001-04-01,179277
2001-04-14,179476
2001-04-27,179358
2001-05-10,180447
2001-05-23,180713
2001-06-06,180924
2001-06-19,181408
2001-07-02,181694
2001-07-15,182841
2001-07-28,182971
2001-08-10,183133
2001-08-23,183281
2001-09-05,183651
2001-09-18,183543
2001-10-01,183992
2001-10-14,183900
2001-10-27,184362
2001-11-09,184480
2001-11-22,184673
2001-12-05,184882
2001-12-18,185236
2001-12-31,185597
2002-01-13,185599
2002-01-26,186008
2002-02-08,186813
2002-02-21,187372
2002-03-06,187726
2002-03-19,188104
2002-04-01,188896
2002-04-14,189376
2002-04-27,190402
2002-05-10,190722
2002-05-23,190852
2002-06-05,192017
2002-06-18,192367
2002-07-01,192674
2002-07-14,193372
2002-07-27,193473
2002-08-09,193679
2002-08-22,194164
2002-09-04,194507
2002-09-17,195266
2002-09-30,195991
2002-10-13,196625
2002-10-26,196936
2002-11-09,197581
2002-11-22,197711
2002-12-05,198262
2002-12-18,198257
2002-12-31,198594
2003-01-13,199049
2003-01-26,199247
2003-02-08,199706
2003-02-21,200074
2003-03-06,200701
2003-03-19,200977
2003-04-01,201485
2003-04-14,202156
2003-04-27,202585
2003-05-10,202565
2003-05-23,203297
2003-06-05,202851
2003-06-18,203211
2003-07-01,203781
2003-07-14,203187
2003-07-27,204106
2003-08-09,204980
2003-08-22,205112
2003-09-04,205370
2003-09-17,205412
