Date,Price
2000-01-01,318672
2000-01-15,317103
2000-01-28,318553
2000-02-10,317545
2000-02-23,320289
2000-03-07,322691
2000-03-20,322918
2000-04-02,322646
2000-04-15,325240
2000-04-28,324954
2000-05-11,323830
2000-05-24,324698
2000-06-06,323954
2000-06-19,324133
2000-07-02,327000
2000-07-15,325271
2000-07-28,325787
2000-08-10,325782
2000-08-23,326784
2000-09-05,327478
2000-09-18,328724
2000-10-01,330693
2000-10-14,331996
2000-10-27,332532
2000-11-09,333315
2000-11-22,334675
2000-12-05,334043
2000-12-18,333707
2000-12-31,334895
2001-01-13,334728
2001-01-26,334551
2001-02-08,337104
2001-02-21,337781
2001-03-06,339247
2001-03-19,340097
2001-04-01,340524
2001-04-14,340688
2001-04-27,341314
2001-05-10,343122
2001-05-23,343623
2001-06-06,345372
2001-06-19,346407
2001-07-02,345874
2001-07-15,347734
2001-07-28,348432
2001-08-10,349423
2001-08-23,350589
2001-09-05,352239
2001-09-18,352231
2001-10-01,352634
2001-10-14,354429
2001-10-27,355585
2001-11-09,356059
2001-11-22,356571
2001-12-05,356922
2001-12-18,357550
2001-12-31,357963
2002-01-13,358666
2002-01-26,359918
2002-02-08,362910
2002-02-21,364604
2002-03-06,364562
2002-03-19,365306
2002-04-01,368484
2002-04-14,369602
2002-04-27,372687
2002-05-10,373887
2002-05-23,371261
2002-06-05,373895
2002-06-18,374672
2002-07-01,375039
2002-07-14,376503
2002-07-27,378134
2002-08-09,377736
2002-08-22,379346
2002-09-04,378759
2002-09-17,379487
2002-09-30,381735
2002-10-13,381860
2002-10-26,382772
2002-11-09,385775
2002-11-22,384846
2002-12-05,387152
2002-12-18,387290
2002-12-31,386710
2003-01-13,386209
2003-01-26,385919
2003-02-08,387947
2003-02-21,388494
2003-03-06,393825
2003-03-19,395415
2003-04-01,394533
2003-04-14,394626
2003-04-27,394263
2003-05-10,396586
2003-05-23,399319
2003-06-05,400295
2003-06-18,402749
2003-07-01,406262
2003-07-14,406928
2003-07-27,407899
2003-08-09,408783
2003-08-22,409473
2003-09-04,409947
2003-09-17,410805
2003-09-30,410466
2003-10-13,412130
2003-10-26,412107
2003-11-08,411988
2003-11-21,414795
2003-12-04,414964
2003-12-17,416754
2003-12-30,416817
2004-01-12,418549
2004-01-25,418156
2004-02-07,419319
2004-02-20,419541
2004-03-04,422002
2004-03-17,423845
2004-03-31,424193
2004-04-13,425810
2004-04-26,428566
2004-05-09,427813
2004-05-22,429084
2004-06-04,428428
2004-06-17,430623
2004-06-30,432031
2004-07-13,431194
2004-07-26,433081
2004-08-08,432288
2004-08-21,433740
2004-09-03,434586
2004-09-16,436478
2004-09-29,438308
2004-10-12,439683
2004-10-25,439424
2004-11-07,438706
2004-11-20,440227
2004-12-03,441784
2004-12-16,441423
2004-12-29,442304
2005-01-11,442149
2005-01-24,444240
2005-02-06,445901
2005-02-19,446939
2005-03-04,447202
2005-03-17,449452
2005-03-30,452308
2005-04-12,452177
2005-04-25,453098
2005-05-08,451498
2005-05-21,454053
2005-06-03,454138
2005-06-16,455646
2005-06-29,455265
2005-07-12,455615
2005-07-25,458417
2005-08-07,460887
2005-08-20,460716
2005-09-03,460113
2005-09-16,460295
2005-09-29,460931
2005-10-12,461382
2005-10-25,461402
2005-11-07,461919
2005-11-20,466185
2005-12-03,466834
2005-12-16,468462
2005-12-29,468441
2006-01-11,469501
2006-01-24,469607
2006-02-06,468315
2006-02-19,469705
2006-03-04,470954
2006-03-17,471291
2006-03-30,471772
2006-04-12,473609
2006-04-25,474457
2006-05-08,478125
2006-05-21,477436
2006-06-03,481605
2006-06-16,481565
2006-06-29,483429
2006-07-12,484448
2006-07-25,485795
2006-08-07,485583
2006-08-20,486019
2006-09-02,486930
2006-09-15,487115
2006-09-28,486277
2006-10-11,489326
2006-10-24,490246
2006-11-06,490710
2006-11-19,490630
2006-12-02,491261
2006-12-15,492730
2006-12-28,493521
2007-01-10,493256
2007-01-24,494662
2007-02-06,495869
2007-02-19,496572
2007-03-04,497430
2007-03-17,498173
2007-03-30,499885
2007-04-12,499657
2007-04-25,502275
2007-05-08,502691
2007-05-21,503510
2007-06-03,505625
2007-06-16,505972
2007-06-29,507609
2007-07-12,510064
2007-07-25,510391
2007-08-07,511009
2007-08-20,513449
2007-09-02,513992
2007-09-15,515630
2007-09-28,517886
2007-10-11,515521
2007-10-24,515663
2007-11-06,518192
2007-11-19,520518
2007-12-02,521196
2007-12-15,523844
2007-12-28,524377
2008-01-10,523562
2008-01-23,524995
2008-02-05,528300
2008-02-18,526193
2008-03-02,523319
2008-03-15,527291
2008-03-28,527473
2008-04-10,529330
2008-04-23,528327
2008-05-06,528522
2008-05-19,530487
2008-06-01,530910
2008-06-14,533946
2008-06-28,533669
2008-07-11,533436
2008-07-24,534987
2008-08-06,536140
2008-08-19,536755
2008-09-01,539106
2008-09-14,540324
2008-09-27,539478
2008-10-10,540545
2008-10-23,541097
2008-11-05,540673
2008-11-18,541089
2008-12-01,542987
2008-12-14,541035
2008-12-27,542582
2009-01-09,545902
2009-01-22,545335
2009-02-04,546982
2009-02-17,546251
2009-03-02,549179
2009-03-15,550265
2009-03-28,550160
2009-04-10,550013
2009-04-23,550035
2009-05-06,551462
2009-05-19,553291
2009-06-01,553441
2009-06-14,555385
2009-06-27,557578
2009-07-10,561663
2009-07-23,560718
2009-08-05,562496
2009-08-18,564551
2009-08-31,563786
2009-09-13,563985
2009-09-26,566066
2009-10-09,569084
2009-10-22,570350
2009-11-04,573130
2009-11-17,576706
2009-12-01,578516
2009-12-14,577673
2009-12-27,576324
2010-01-09,578090
2010-01-22,582237
2010-02-04,585871
2010-02-17,588964
2010-03-02,589802
2010-03-15,591468
2010-03-28,595455
2010-04-10,598244
2010-04-23,603239
2010-05-06,604660
2010-05-19,609368
2010-06-01,609834
2010-06-14,611309
2010-06-27,620794
2010-07-10,622191
2010-07-23,621769
2010-08-05,623442
2010-08-18,625690
2010-08-31,628810
2010-09-13,631392
2010-09-26,632787
2010-10-09,631260
2010-10-22,635725
2010-11-04,639922
2010-11-17,637620
2010-11-30,637066
2010-12-13,645159
2010-12-26,648946
2011-01-08,651098
2011-01-21,653626
2011-02-03,651261
