Date,Price
2000-01-01,214113
2000-01-15,214411
2000-01-28,215160
2000-02-10,215814
2000-02-23,216229
2000-03-07,217284
2000-03-20,217996
2000-04-02,218498
2000-04-15,219701
2000-04-28,220160
2000-05-11,220937
2000-05-24,221726
2000-06-06,222651
2000-06-19,223675
2000-07-02,224283
2000-07-15,224426
2000-07-28,225236
2000-08-10,225504
2000-08-23,226413
2000-09-05,227000
2000-09-18,227244
2000-10-01,228090
2000-10-14,228790
2000-10-27,229145
2000-11-09,230502
2000-11-22,231199
2000-12-05,232013
2000-12-18,232454
2000-12-31,232839
2001-01-13,232863
2001-01-26,233734
2001-02-08,234370
2001-02-21,235054
2001-03-06,235428
2001-03-19,236304
2001-04-01,237450
2001-04-14,239201
2001-04-27,239338
2001-05-10,239606
2001-05-23,239804
2001-06-06,241729
2001-06-19,242038
2001-07-02,242220
2001-07-15,242294
2001-07-28,242555
2001-08-10,243354
2001-08-23,243600
2001-09-05,244163
2001-09-18,245057
2001-10-01,245647
2001-10-14,246140
2001-10-27,246798
2001-11-09,247574
2001-11-22,248036
2001-12-05,248357
2001-12-18,248703
2001-12-31,249145
2002-01-13,249352
2002-01-26,249555
2002-02-08,251645
2002-02-21,252985
2002-03-06,253873
2002-03-19,254099
2002-04-01,255211
2002-04-14,256518
2002-04-27,257867
2002-05-10,259692
2002-05-23,260342
2002-06-05,261578
2002-06-18,262263
2002-07-01,263291
2002-07-14,265221
2002-07-27,264923
2002-08-09,265548
2002-08-22,267070
2002-09-04,267486
2002-09-17,268314
2002-09-30,268791
2002-10-13,268795
2002-10-26,269628
2002-11-09,271379
2002-11-22,272728
2002-12-05,273664
2002-12-18,274084
2002-12-31,274760
2003-01-13,275077
2003-01-26,275615
2003-02-08,276772
2003-02-21,278232
2003-03-06,278437
2003-03-19,279912
2003-04-01,280699
2003-04-14,281354
2003-04-27,282358
2003-05-10,283216
2003-05-23,284084
2003-06-05,284466
2003-06-18,285133
2003-07-01,286520
2003-07-14,286450
2003-07-27,287933
2003-08-09,288623
2003-08-22,289512
2003-09-04,289629
