Date,Price
2000-01-01,163376
2000-01-15,163686
2000-01-28,164027
2000-02-10,164345
2000-02-23,164374
2000-03-07,164721
2000-03-20,165289
2000-04-02,166087
2000-04-15,165852
2000-04-28,167399
2000-05-11,168026
2000-05-24,168693
2000-06-06,168037
2000-06-19,168640
2000-07-02,169119
2000-07-15,168835
2000-07-28,170708
2000-08-10,171236
2000-08-23,171139
2000-09-05,171206
2000-09-18,171539
2000-10-01,171625
2000-10-14,171967
2000-10-27,172176
2000-11-09,172498
2000-11-22,173457
2000-12-05,174081
2000-12-18,174639
2000-12-31,174580
2001-01-13,174921
2001-01-26,176287
2001-02-08,176517
2001-02-21,176542
2001-03-06,177566
2001-03-19,177710
2001-04-01,178857
2001-04-14,180534
2001-04-27,180413
2001-05-10,182241
2001-05-23,182191
2001-06-06,182830
2001-06-19,182499
2001-07-02,183047
2001-07-15,183322
2001-07-28,183143
2001-08-10,183667
2001-08-23,185928
2001-09-05,186378
2001-09-18,186657
2001-10-01,186873
2001-10-14,187314
2001-10-27,187421
2001-11-09,188022
2001-11-22,188653
2001-12-05,189377
2001-12-18,190321
2001-12-31,190344
2002-01-13,190292
2002-01-26,190360
2002-02-08,191258
2002-02-21,192712
2002-03-06,192462
2002-03-19,194538
2002-04-01,195626
2002-04-14,195827
2002-04-27,197649
2002-05-10,197826
2002-05-23,198363
2002-06-05,199240
2002-06-18,199695
2002-07-01,200973
2002-07-14,201783
2002-07-27,203349
2002-08-09,203557
2002-08-22,203446
2002-09-04,204021
2002-09-17,204369
2002-09-30,204651
2002-10-13,205268
2002-10-26,205756
2002-11-09,206692
2002-11-22,206605
2002-12-05,208183
2002-12-18,208436
2002-12-31,208749
2003-01-13,209053
2003-01-26,209858
2003-02-08,210485
2003-02-21,211427
2003-03-06,211994
2003-03-19,212010
2003-04-01,213055
2003-04-14,213171
2003-04-27,213600
2003-05-10,214101
2003-05-23,214564
2003-06-05,215002
2003-06-18,215556
2003-07-01,215777
2003-07-14,216126
2003-07-27,216868
2003-08-09,217668
2003-08-22,218223
2003-09-04,218453
2003-09-17,218918
2003-09-30,219279
2003-10-13,219316
2003-10-26,219990
2003-11-08,220342
2003-11-21,221046
2003-12-04,221304
2003-12-17,221901
2003-12-30,221901
2004-01-12,222002
2004-01-25,222085
2004-02-07,222675
2004-02-20,223381
2004-03-04,223449
2004-03-17,223969
2004-03-31,224319
2004-04-13,224194
2004-04-26,224406
2004-05-09,225240
2004-05-22,225862
2004-06-04,226425
2004-06-17,225842
2004-06-30,226497
2004-07-13,227747
2004-07-26,227713
2004-08-08,228316
2004-08-21,228606
2004-09-03,229021
2004-09-16,228971
2004-09-29,229525
2004-10-12,229568
2004-10-25,230087
2004-11-07,230941
2004-11-20,231714
2004-12-03,231651
2004-12-16,232250
2004-12-29,232771
2005-01-11,232512
2005-01-24,232708
2005-02-06,233396
2005-02-19,233329
2005-03-04,233384
2005-03-17,234136
2005-03-30,234153
2005-04-12,235391
2005-04-25,235153
2005-05-08,235309
2005-05-21,235970
2005-06-03,235961
2005-06-16,235874
2005-06-29,237684
2005-07-12,236616
2005-07-25,236954
2005-08-07,237145
2005-08-20,238100
2005-09-03,237905
2005-09-16,238265
2005-09-29,238376
2005-10-12,239463
