Date,Price
2000-01-01,145232
2000-01-15,145623
2000-01-28,146492
2000-02-10,147185
2000-02-23,147697
2000-03-07,147606
2000-03-20,148293
2000-04-02,149167
2000-04-15,150292
2000-04-28,150645
2000-05-11,151537
2000-05-24,151681
2000-06-06,152377
2000-06-19,152390
2000-07-02,153412
2000-07-15,153634
2000-07-28,153925
2000-08-10,154787
2000-08-23,155727
2000-09-05,156006
2000-09-18,156704
2000-10-01,157164
2000-10-14,158014
2000-10-27,158792
2000-11-09,159602
2000-11-22,159988
2000-12-05,160518
2000-12-18,160934
2000-12-31,160820
2001-01-13,161390
2001-01-26,161578
2001-02-08,162372
2001-02-21,163242
2001-03-06,164058
2001-03-19,164657
2001-04-01,164907
2001-04-14,165235
2001-04-27,165463
2001-05-10,167043
2001-05-23,167842
2001-06-06,168266
2001-06-19,169123
2001-07-02,169720
2001-07-15,171257
2001-07-28,171716
2001-08-10,172161
2001-08-23,172508
2001-09-05,173122
2001-09-18,173177
2001-10-01,173887
2001-10-14,173861
2001-10-27,174693
2001-11-09,175161
2001-11-22,175734
2001-12-05,176281
2001-12-18,176882
2001-12-31,177440
2002-01-13,177546
2002-01-26,178158
2002-02-08,178961
2002-02-21,179579
2002-03-06,180188
2002-03-19,180627
2002-04-01,181277
2002-04-14,181660
2002-04-27,182436
2002-05-10,182501
2002-05-23,182722
2002-06-05,183774
2002-06-18,184041
2002-07-01,184298
2002-07-14,184959
2002-07-27,184951
2002-08-09,185273
2002-08-22,185728
2002-09-04,186233
2002-09-17,187140
2002-09-30,187853
2002-10-13,188625
2002-10-26,188828
2002-11-09,189163
2002-11-22,189287
2002-12-05,189613
2002-12-18,189557
2002-12-31,189978
2003-01-13,190535
2003-01-26,190658
2003-02-08,190857
2003-02-21,191045
2003-03-06,191271
2003-03-19,191371
2003-04-01,192048
2003-04-14,192899
2003-04-27,193422
2003-05-10,193107
2003-05-23,193739
2003-06-05,193051
2003-06-18,193246
2003-07-01,193552
2003-07-14,192679
2003-07-27,193598
2003-08-09,194520
2003-08-22,194506
2003-09-04,194783
2003-09-17,194688
2003-09-30,194676
2003-10-13,194687
2003-10-26,194853
2003-11-08,195184
2003-11-21,195631
2003-12-04,195710
2003-12-17,196494
2003-12-30,196025
2004-01-12,196084
2004-01-25,196525
2004-02-07,197311
2004-02-20,197437
2004-03-04,197294
2004-03-17,197968
2004-03-31,198103
2004-04-13,198105
2004-04-26,198284
2004-05-09,198988
2004-05-22,199446
2004-06-04,199466
2004-06-17,199976
2004-06-30,200957
2004-07-13,201443
2004-07-26,201976
2004-08-08,202313
2004-08-21,202471
2004-09-03,202751
2004-09-16,203007
2004-09-29,203303
2004-10-12,203940
2004-10-25,204374
2004-11-07,204915
2004-11-20,205266
2004-12-03,206028
2004-12-16,206103
2004-12-29,206800
2005-01-11,206972
2005-01-24,207417
2005-02-06,208264
2005-02-19,208674
2005-03-04,209287
2005-03-17,209424
2005-03-30,210068
2005-04-12,210959
2005-04-25,211512
2005-05-08,211706
2005-05-21,212105
2005-06-03,212546
2005-06-16,213277
2005-06-29,214061
2005-07-12,213962
2005-07-25,214282
2005-08-07,214631
2005-08-20,215082
2005-09-03,215691
2005-09-16,216309
2005-09-29,216581
2005-10-12,217179
2005-10-25,218278
2005-11-07,218300
2005-11-20,218690
2005-12-03,218685
2005-12-16,218989
2005-12-29,219253
2006-01-11,219767
2006-01-24,220190
2006-02-06,220828
2006-02-19,221927
2006-03-04,222107
2006-03-17,222395
2006-03-30,222510
2006-04-12,223291
2006-04-25,224052
2006-05-08,224971
2006-05-21,225127
2006-06-03,226337
2006-06-16,226628
2006-06-29,226997
2006-07-12,227745
2006-07-25,228810
2006-08-07,229778
2006-08-20,230228
2006-09-02,230849
2006-09-15,231508
2006-09-28,231707
2006-10-11,232566
2006-10-24,232939
2006-11-06,234528
2006-11-19,235201
2006-12-02,235854
2006-12-15,236491
2006-12-28,236734
2007-01-10,237458
2007-01-24,238464
2007-02-06,238764
2007-02-19,239029
2007-03-04,240037
2007-03-17,241282
2007-03-30,241647
2007-04-12,242374
2007-04-25,243268
2007-05-08,243410
2007-05-21,243932
2007-06-03,244081
2007-06-16,244625
2007-06-29,246474
2007-07-12,247798
2007-07-25,247602
2007-08-07,248349
2007-08-20,248198
2007-09-02,249001
2007-09-15,250332
2007-09-28,251148
2007-10-11,251185
2007-10-24,251824
2007-11-06,252080
2007-11-19,252695
2007-12-02,253692
2007-12-15,254702
2007-12-28,255656
2008-01-10,255450
2008-01-23,255536
2008-02-05,256200
2008-02-18,256431
2008-03-02,256788
2008-03-15,257265
2008-03-28,257499
2008-04-10,258097
2008-04-23,258988
2008-05-06,260032
2008-05-19,259900
2008-06-01,260365
2008-06-14,261708
2008-06-28,262633
2008-07-11,263207
2008-07-24,263471
2008-08-06,263592
2008-08-19,264117
2008-09-01,264552
2008-09-14,265208
2008-09-27,266118
2008-10-10,267456
2008-10-23,268185
2008-11-05,268547
2008-11-18,268456
2008-12-01,268498
2008-12-14,269533
2008-12-27,269962
2009-01-09,270825
2009-01-22,271939
2009-02-04,271908
2009-02-17,273222
2009-03-02,273900
2009-03-15,275096
2009-03-28,275748
2009-04-10,276249
2009-04-23,276608
2009-05-06,277628
2009-05-19,278227
2009-06-01,278937
2009-06-14,279315
2009-06-27,280367
2009-07-10,280761
2009-07-23,281719
2009-08-05,282748
2009-08-18,283245
2009-08-31,283666
2009-09-13,284716
2009-09-26,285708
2009-10-09,286313
2009-10-22,286809
2009-11-04,287070
2009-11-17,288998
2009-12-01,290380
2009-12-14,290666
2009-12-27,290655
2010-01-09,290223
2010-01-22,291098
2010-02-04,293303
2010-02-17,294239
2010-03-02,295605
2010-03-15,296435
2010-03-28,297110
2010-04-10,297455
2010-04-23,299063
2010-05-06,300508
2010-05-19,302227
2010-06-01,304054
2010-06-14,305199
2010-06-27,305952
2010-07-10,306360
2010-07-23,306823
2010-08-05,307904
2010-08-18,309848
2010-08-31,309627
2010-09-13,309681
2010-09-26,309711
2010-10-09,312217
2010-10-22,312348
2010-11-04,312830
2010-11-17,313627
2010-11-30,314968
2010-12-13,315303
2010-12-26,315216
2011-01-08,314944
2011-01-21,315412
2011-02-03,316659
2011-02-16,317423
2011-03-01,318100
2011-03-14,317796
2011-03-27,318819
2011-04-09,319584
2011-04-23,319044
2011-05-06,318314
2011-05-19,318991
2011-06-01,318529
2011-06-14,319444
2011-06-27,320961
2011-07-10,321268
2011-07-23,319625
2011-08-05,322045
2011-08-18,323184
2011-08-31,323417
2011-09-13,324245
2011-09-26,323866
2011-10-09,323792
2011-10-22,324255
2011-11-04,324974
2011-11-17,325552
2011-11-30,325324
2011-12-13,325604
2011-12-26,325891
2012-01-08,325960
2012-01-21,325496
2012-02-03,324782
2012-02-16,325623
2012-02-29,325352
2012-03-13,326229
2012-03-26,326628
2012-04-08,326373
2012-04-21,327327
2012-05-04,327634
2012-05-17,327426
2012-05-30,328754
2012-06-12,328595
2012-06-25,327263
2012-07-08,327187
2012-07-21,328102
2012-08-03,328185
2012-08-16,327635
2012-08-29,327058
2012-09-11,327874
2012-09-25,329287
2012-10-08,328466
2012-10-21,328189
2012-11-03,329253
2012-11-16,328258
2012-11-29,329222
2012-12-12,329181
2012-12-25,329093
2013-01-07,329189
2013-01-20,329333
2013-02-02,329417
2013-02-15,328949
2013-02-28,328816
2013-03-13,329677
2013-03-26,329975
2013-04-08,330543
2013-04-21,330352
2013-05-04,330889
2013-05-17,333922
2013-05-30,333239
2013-06-12,335008
2013-06-25,332869
2013-07-08,334528
2013-07-21,333110
2013-08-03,331651
2013-08-16,331691
2013-08-29,331805
2013-09-11,331597
2013-09-24,331352
2013-10-07,333139
2013-10-20,334735
2013-11-02,333974
2013-11-15,334017
2013-11-28,333703
2013-12-11,335204
2013-12-24,335054
2014-01-06,335546
2014-01-19,336522
2014-02-01,336777
2014-02-15,337074
2014-02-28,337138
2014-03-13,336999
2014-03-26,337207
2014-04-08,339034
2014-04-21,340427
2014-05-04,340735
2014-05-17,340691
2014-05-30,340839
2014-06-12,341508
2014-06-25,341958
2014-07-08,343472
2014-07-21,343647
2014-08-03,344578
2014-08-16,344637
2014-08-29,344324
2014-09-11,345725
2014-09-24,346553
2014-10-07,345435
2014-10-20,346245
2014-11-02,347065
2014-11-15,347990
2014-11-28,348135
2014-12-11,348304
2014-12-24,349900
2015-01-06,349930
2015-01-19,350231
2015-02-01,350263
2015-02-14,350538
2015-02-27,350708
2015-03-12,351558
2015-03-25,352203
2015-04-07,353665
2015-04-20,354068
