Date,Price
2000-01-01,251741
2000-01-15,250295
2000-01-28,251466
2000-02-10,250477
2000-02-23,252854
2000-03-07,254896
2000-03-20,254984
2000-04-02,254650
2000-04-15,256966
2000-04-28,256783
2000-05-11,255904
2000-05-24,256838
2000-06-06,256341
2000-06-19,256566
2000-07-02,259076
2000-07-15,257720
2000-07-28,258289
2000-08-10,258549
2000-08-23,259723
2000-09-05,260634
2000-09-18,261948
2000-10-01,263783
2000-10-14,264817
2000-10-27,265189
2000-11-09,265701
2000-11-22,266764
2000-12-05,266054
2000-12-18,265655
2000-12-31,266688
2001-01-13,266458
2001-01-26,266108
2001-02-08,268241
2001-02-21,268698
2001-03-06,269840
2001-03-19,270470
2001-04-01,270680
2001-04-14,270580
2001-04-27,271103
2001-05-10,272500
2001-05-23,272878
2001-06-06,274241
2001-06-19,275109
2001-07-02,274554
2001-07-15,276180
2001-07-28,276869
2001-08-10,277778
2001-08-23,278800
2001-09-05,280307
2001-09-18,280316
2001-10-01,280652
2001-10-14,282225
2001-10-27,283204
2001-11-09,283564
2001-11-22,283974
2001-12-05,284238
2001-12-18,284721
2001-12-31,285019
2002-01-13,285609
2002-01-26,286658
2002-02-08,289087
2002-02-21,290389
2002-03-06,290261
2002-03-19,290769
2002-04-01,293506
2002-04-14,294434
2002-04-27,297022
2002-05-10,298013
2002-05-23,295607
2002-06-05,297803
2002-06-18,298417
2002-07-01,298733
2002-07-14,300120
2002-07-27,301884
2002-08-09,301855
2002-08-22,303561
2002-09-04,303241
2002-09-17,303971
2002-09-30,306051
2002-10-13,306272
2002-10-26,307237
2002-11-09,310039
2002-11-22,309327
2002-12-05,311418
2002-12-18,311625
2002-12-31,311152
2003-01-13,310827
2003-01-26,310717
2003-02-08,312685
2003-02-21,313231
2003-03-06,318183
2003-03-19,319609
2003-04-01,318735
2003-04-14,318832
2003-04-27,318506
2003-05-10,320677
2003-05-23,323147
2003-06-05,324082
2003-06-18,326248
2003-07-01,329390
2003-07-14,330111
2003-07-27,330903
2003-08-09,331663
2003-08-22,332277
2003-09-04,332722
2003-09-17,333369
2003-09-30,333017
2003-10-13,334419
2003-10-26,334221
2003-11-08,333926
2003-11-21,336264
2003-12-04,336324
2003-12-17,337831
2003-12-30,338053
2004-01-12,339846
2004-01-25,339751
2004-02-07,340998
2004-02-20,341390
2004-03-04,343720
2004-03-17,345343
2004-03-31,345459
2004-04-13,346797
2004-04-26,349135
2004-05-09,348183
2004-05-22,349107
2004-06-04,348320
2004-06-17,350283
2004-06-30,351600
2004-07-13,350890
2004-07-26,352739
2004-08-08,352165
2004-08-21,353651
2004-09-03,354511
2004-09-16,356242
2004-09-29,357707
2004-10-12,358793
2004-10-25,358287
2004-11-07,357379
