Date,Price
2000-01-01,215601
2000-01-15,216092
2000-01-28,216805
2000-02-10,217665
2000-02-23,217867
2000-03-07,218928
2000-03-20,219716
2000-04-02,220235
2000-04-15,221138
2000-04-28,221199
2000-05-11,221673
2000-05-24,221967
2000-06-06,222710
2000-06-19,223550
2000-07-02,223688
2000-07-15,223998
2000-07-28,224726
2000-08-10,224878
2000-08-23,225760
2000-09-05,226317
2000-09-18,226366
2000-10-01,227107
2000-10-14,227619
2000-10-27,227769
2000-11-09,229091
2000-11-22,229478
2000-12-05,230185
2000-12-18,230373
2000-12-31,230435
2001-01-13,230258
2001-01-26,231181
2001-02-08,231665
2001-02-21,232455
2001-03-06,232716
2001-03-19,233697
2001-04-01,234930
2001-04-14,236818
2001-04-27,236766
2001-05-10,236520
2001-05-23,236505
2001-06-06,238478
2001-06-19,238632
2001-07-02,238858
2001-07-15,238737
2001-07-28,239091
2001-08-10,240048
2001-08-23,240199
2001-09-05,240773
2001-09-18,241927
2001-10-01,242570
2001-10-14,242986
2001-10-27,243647
2001-11-09,244519
2001-11-22,244996
2001-12-05,245308
2001-12-18,245596
2001-12-31,245994
2002-01-13,246025
2002-01-26,245912
2002-02-08,247843
2002-02-21,248967
2002-03-06,249861
2002-03-19,249780
2002-04-01,250474
2002-04-14,251483
2002-04-27,252076
2002-05-10,253505
2002-05-23,253873
2002-06-05,254474
2002-06-18,254822
2002-07-01,255788
2002-07-14,257739
2002-07-27,256945
2002-08-09,257519
2002-08-22,259004
2002-09-04,259359
2002-09-17,260134
2002-09-30,260355
2002-10-13,260151
2002-10-26,260879
2002-11-09,262434
2002-11-22,263998
2002-12-05,264646
2002-12-18,265035
2002-12-31,265825
2003-01-13,266152
2003-01-26,266706
2003-02-08,267772
2003-02-21,269338
2003-03-06,268932
2003-03-19,270488
2003-04-01,271354
2003-04-14,271988
2003-04-27,273077
2003-05-10,273757
2003-05-23,274359
2003-06-05,274667
2003-06-18,275151
2003-07-01,276416
2003-07-14,276285
2003-07-27,277849
2003-08-09,278456
2003-08-22,279397
2003-09-04,279432
2003-09-17,281090
2003-09-30,280500
2003-10-13,281138
2003-10-26,281939
2003-11-08,283082
2003-11-21,284341
2003-12-04,284599
2003-12-17,285000
2003-12-30,285348
2004-01-12,285466
2004-01-25,285537
2004-02-07,286265
2004-02-20,286924
2004-03-04,289123
2004-03-17,290319
2004-03-31,291599
2004-04-13,291958
2004-04-26,292087
2004-05-09,292649
2004-05-22,293456
2004-06-04,294503
2004-06-17,295381
2004-06-30,295688
2004-07-13,296631
2004-07-26,298276
2004-08-08,299108
2004-08-21,299515
2004-09-03,299880
2004-09-16,300160
2004-09-29,301594
2004-10-12,302105
2004-10-25,303755
2004-11-07,304572
2004-11-20,305454
2004-12-03,305953
2004-12-16,306832
2004-12-29,307074
2005-01-11,308261
2005-01-24,308916
2005-02-06,309623
2005-02-19,310472
2005-03-04,311356
2005-03-17,312197
2005-03-30,312473
2005-04-12,313455
2005-04-25,313865
2005-05-08,315087
2005-05-21,315932
2005-06-03,316099
2005-06-16,315948
2005-06-29,317266
2005-07-12,318328
2005-07-25,317506
2005-08-07,318836
2005-08-20,320321
2005-09-03,320980
2005-09-16,321881
2005-09-29,321872
2005-10-12,323695
2005-10-25,323796
2005-11-07,323991
2005-11-20,324314
2005-12-03,324605
2005-12-16,325784
2005-12-29,326657
2006-01-11,326916
2006-01-24,327219
2006-02-06,327613
2006-02-19,327818
2006-03-04,330038
2006-03-17,329375
2006-03-30,331638
2006-04-12,333002
2006-04-25,332650
2006-05-08,332550
2006-05-21,333898
2006-06-03,334563
2006-06-16,334360
2006-06-29,335587
2006-07-12,338186
2006-07-25,339553
2006-08-07,340807
2006-08-20,341272
2006-09-02,341660
2006-09-15,342503
2006-09-28,343448
2006-10-11,344585
2006-10-24,345667
2006-11-06,347014
2006-11-19,347119
2006-12-02,347461
2006-12-15,348160
2006-12-28,349101
2007-01-10,350179
2007-01-24,352045
2007-02-06,352955
2007-02-19,353563
2007-03-04,353487
2007-03-17,355149
2007-03-30,356127
2007-04-12,356069
2007-04-25,356224
2007-05-08,358430
2007-05-21,359836
2007-06-03,361028
2007-06-16,362690
2007-06-29,365310
2007-07-12,366263
2007-07-25,367997
2007-08-07,366639
2007-08-20,368338
2007-09-02,368582
2007-09-15,368290
2007-09-28,370356
2007-10-11,370365
2007-10-24,370588
2007-11-06,372487
2007-11-19,374042
2007-12-02,374968
2007-12-15,377213
2007-12-28,377725
2008-01-10,377249
2008-01-23,377298
2008-02-05,377958
2008-02-18,377803
2008-03-02,377519
2008-03-15,378728
2008-03-28,378385
2008-04-10,379726
2008-04-23,380299
2008-05-06,380700
2008-05-19,381491
2008-06-01,381817
2008-06-14,383093
2008-06-28,383411
2008-07-11,382253
2008-07-24,383055
2008-08-06,385700
2008-08-19,387022
2008-09-01,387390
2008-09-14,388789
2008-09-27,388640
2008-10-10,389193
2008-10-23,391232
2008-11-05,390954
2008-11-18,389775
2008-12-01,390180
2008-12-14,390046
2008-12-27,390715
2009-01-09,391421
2009-01-22,392678
2009-02-04,393796
2009-02-17,394686
2009-03-02,395744
2009-03-15,395317
2009-03-28,397563
2009-04-10,398089
2009-04-23,399731
2009-05-06,400457
2009-05-19,398906
2009-06-01,400811
2009-06-14,402010
2009-06-27,403741
2009-07-10,405669
2009-07-23,406483
2009-08-05,408141
2009-08-18,407879
2009-08-31,408124
2009-09-13,407768
2009-09-26,408936
2009-10-09,411356
2009-10-22,412381
2009-11-04,415006
2009-11-17,418469
2009-12-01,424819
2009-12-14,423503
2009-12-27,422557
2010-01-09,422138
2010-01-22,423572
2010-02-04,422858
2010-02-17,423383
2010-03-02,425709
2010-03-15,426777
2010-03-28,427072
2010-04-10,428971
2010-04-23,430089
2010-05-06,431885
2010-05-19,433383
2010-06-01,434129
2010-06-14,435980
2010-06-27,437181
2010-07-10,438049
2010-07-23,439584
2010-08-05,441508
2010-08-18,442191
2010-08-31,443054
2010-09-13,443712
2010-09-26,446367
2010-10-09,447767
2010-10-22,448664
2010-11-04,449041
2010-11-17,449519
2010-11-30,448230
2010-12-13,450608
2010-12-26,453120
2011-01-08,453606
2011-01-21,455835
2011-02-03,456677
2011-02-16,457736
2011-03-01,458023
2011-03-14,460520
2011-03-27,462838
2011-04-09,461154
2011-04-23,464826
2011-05-06,466937
2011-05-19,468396
2011-06-01,472768
2011-06-14,472241
2011-06-27,472082
2011-07-10,472602
2011-07-23,474424
2011-08-05,475204
2011-08-18,478229
2011-08-31,478260
2011-09-13,480042
2011-09-26,481660
2011-10-09,482050
2011-10-22,483190
2011-11-04,484991
2011-11-17,487663
2011-11-30,488501
2011-12-13,489625
2011-12-26,490513
2012-01-08,490941
2012-01-21,490940
2012-02-03,492291
2012-02-16,494401
2012-02-29,492380
2012-03-13,495321
2012-03-26,497266
2012-04-08,500762
2012-04-21,500531
2012-05-04,503095
2012-05-17,507201
2012-05-30,509620
2012-06-12,511080
2012-06-25,512934
2012-07-08,511982
2012-07-21,513439
2012-08-03,514102
2012-08-16,514899
2012-08-29,517245
2012-09-11,518571
2012-09-25,519108
2012-10-08,521324
2012-10-21,524265
2012-11-03,524099
2012-11-16,526343
2012-11-29,527145
2012-12-12,529605
2012-12-25,530863
2013-01-07,532322
2013-01-20,532960
2013-02-02,534416
2013-02-15,534038
2013-02-28,536439
2013-03-13,537250
2013-03-26,541159
2013-04-08,541710
2013-04-21,542405
2013-05-04,543499
2013-05-17,543378
2013-05-30,546017
2013-06-12,549542
2013-06-25,552257
2013-07-08,556114
2013-07-21,556261
2013-08-03,559518
2013-08-16,560246
2013-08-29,560400
2013-09-11,560872
2013-09-24,563373
2013-10-07,566812
2013-10-20,567086
2013-11-02,566619
2013-11-15,569820
2013-11-28,572314
2013-12-11,573026
2013-12-24,576560
2014-01-06,576826
2014-01-19,578477
2014-02-01,575645
2014-02-15,579232
2014-02-28,582035
2014-03-13,584198
2014-03-26,588512
2014-04-08,590253
2014-04-21,593839
2014-05-04,599321
2014-05-17,602783
2014-05-30,603716
2014-06-12,606415
2014-06-25,608545
2014-07-08,609306
2014-07-21,611904
2014-08-03,613249
2014-08-16,610703
2014-08-29,615480
2014-09-11,616996
2014-09-24,619685
2014-10-07,624747
2014-10-20,626502
2014-11-02,629961
2014-11-15,633271
2014-11-28,635259
2014-12-11,636726
2014-12-24,637078
2015-01-06,636725
2015-01-19,638661
2015-02-01,640634
2015-02-14,642723
2015-02-27,643900
2015-03-12,647427
2015-03-25,649630
2015-04-07,652185
2015-04-20,655478
2015-05-03,657036
2015-05-16,661356
2015-05-29,664219
2015-06-11,666640
2015-06-24,668075
2015-07-07,670926
2015-07-21,674489
2015-08-03,682452
2015-08-16,683672
2015-08-29,682813
2015-09-11,684058
2015-09-24,688138
2015-10-07,691164
2015-10-20,692585
2015-11-02,693499
2015-11-15,693697
2015-11-28,700000
2015-12-11,699955
2015-12-24,702455
2016-01-06,703053
2016-01-19,703578
2016-02-01,703334
2016-02-14,705898
2016-02-27,708113
2016-03-11,710548
2016-03-24,713734
2016-04-06,718772
2016-04-19,727743
2016-05-02,730681
2016-05-15,735448
2016-05-28,736450
2016-06-10,744647
2016-06-23,747793
2016-07-06,753206
2016-07-19,757667
2016-08-01,759803
2016-08-14,764783
2016-08-27,769403
2016-09-09,770218
2016-09-22,774406
2016-10-05,779877
2016-10-18,788537
2016-10-31,791154
2016-11-13,794425
2016-11-26,796304
2016-12-09,798213
2016-12-23,803938
2017-01-05,804144
2017-01-18,805263
2017-01-31,813180
2017-02-13,816242
2017-02-26,822995
2017-03-11,831569
2017-03-24,844343
2017-04-06,855385
2017-04-19,862478
2017-05-02,870780
2017-05-15,887948
2017-05-28,896309
2017-06-10,900597
2017-06-23,904335
2017-07-06,906942
2017-07-19,910938
2017-08-01,912504
2017-08-14,918487
2017-08-27,925727
2017-09-09,932823
2017-09-22,935578
2017-10-05,939115
2017-10-18,942708
2017-10-31,946876
2017-11-13,950653
2017-11-26,949223
2017-12-09,952154
2017-12-22,951408
2018-01-04,952489
2018-01-17,953595
2018-01-30,953557
2018-02-12,955584
2018-02-25,952143
2018-03-10,947335
2018-03-23,942865
2018-04-05,939107
2018-04-18,939289
2018-05-01,937277
2018-05-15,931849
2018-05-28,928325
2018-06-10,930931
2018-06-23,931677
2018-07-06,936148
2018-07-19,936172
2018-08-01,934874
2018-08-14,934027
2018-08-27,930875
2018-09-09,922208
2018-09-22,926229
2018-10-05,925709
2018-10-18,925306
2018-10-31,924181
2018-11-13,926023
2018-11-26,932385
2018-12-09,931972
2018-12-22,933779
2019-01-04,936537
2019-01-17,937204
2019-01-30,941785
2019-02-12,939113
2019-02-25,937692
2019-03-10,940140
2019-03-23,946834
2019-04-05,947683
2019-04-18,950542
2019-05-01,946256
2019-05-14,952757
2019-05-27,957520
2019-06-09,956201
2019-06-22,955308
2019-07-05,959736
2019-07-18,958976
2019-07-31,963684
2019-08-13,964653
2019-08-26,963515
2019-09-08,963335
2019-09-21,972559
2019-10-04,976621
2019-10-18,980091
2019-10-31,983440
2019-11-13,984693
2019-11-26,986057
2019-12-09,992700
2019-12-22,991794
2020-01-04,993603
2020-01-17,991046
2020-01-30,989576
2020-02-12,994962
2020-02-25,1001820
2020-03-09,1002791
2020-03-22,1012605
2020-04-04,1012756
2020-04-17,1016766
2020-04-30,1026694
2020-05-13,1024121
2020-05-26,1023969
2020-06-08,1029862
2020-06-21,1044633
2020-07-04,1049962
2020-07-17,1059035
2020-07-30,1069764
2020-08-12,1073308
2020-08-25,1079147
2020-09-07,1080260
2020-09-20,1084235
2020-10-03,1083812
2020-10-16,1087226
2020-10-29,1092503
2020-11-11,1097266
2020-11-24,1102011
2020-12-07,1098510
2020-12-20,1101805
2021-01-02,1102103
2021-01-15,1106528
2021-01-28,1113657
2021-02-10,1122978
2021-02-23,1131073
2021-03-09,1140005
2021-03-22,1145678
2021-04-04,1147527
2021-04-17,1152172
