Date,Price
2000-01-01,210316
2000-01-15,210562
2000-01-28,211098
2000-02-10,211426
2000-02-23,211694
2000-03-07,212279
2000-03-20,212955
2000-04-02,213837
2000-04-15,213976
2000-04-28,215719
2000-05-11,216523
2000-05-24,217487
2000-06-06,216982
2000-06-19,217790
2000-07-02,218558
2000-07-15,217915
2000-07-28,219614
2000-08-10,219816
2000-08-23,219481
2000-09-05,219299
2000-09-18,219517
2000-10-01,219675
2000-10-14,220034
2000-10-27,220122
2000-11-09,220362
2000-11-22,221228
2000-12-05,221652
2000-12-18,222053
2000-12-31,221925
2001-01-13,222019
2001-01-26,223096
2001-02-08,223165
2001-02-21,222901
2001-03-06,223738
2001-03-19,223753
2001-04-01,224826
2001-04-14,226385
2001-04-27,225981
2001-05-10,227625
2001-05-23,227256
2001-06-06,227782
2001-06-19,227333
2001-07-02,227718
2001-07-15,227955
2001-07-28,227545
2001-08-10,227838
2001-08-23,229831
2001-09-05,230145
2001-09-18,230248
2001-10-01,230436
2001-10-14,230874
2001-10-27,230936
2001-11-09,231398
2001-11-22,231878
2001-12-05,232461
2001-12-18,233329
2001-12-31,233200
2002-01-13,232931
2002-01-26,232768
2002-02-08,233619
2002-02-21,234897
2002-03-06,234438
2002-03-19,236337
2002-04-01,237475
2002-04-14,237604
2002-04-27,239421
2002-05-10,239514
2002-05-23,239672
2002-06-05,240649
2002-06-18,241109
2002-07-01,242248
2002-07-14,242958
2002-07-27,244172
2002-08-09,243987
2002-08-22,243730
2002-09-04,243989
2002-09-17,244249
2002-09-30,244656
2002-10-13,245192
2002-10-26,245676
2002-11-09,246786
2002-11-22,246643
2002-12-05,248304
2002-12-18,248556
2002-12-31,248860
2003-01-13,249157
2003-01-26,249942
2003-02-08,250767
2003-02-21,251796
2003-03-06,252739
2003-03-19,252964
2003-04-01,254002
2003-04-14,254268
2003-04-27,254821
2003-05-10,255596
2003-05-23,256393
2003-06-05,256920
2003-06-18,257699
2003-07-01,258339
2003-07-14,258799
2003-07-27,259853
2003-08-09,260914
2003-08-22,261672
2003-09-04,262032
2003-09-17,262666
2003-09-30,263011
2003-10-13,263300
2003-10-26,264094
2003-11-08,264596
2003-11-21,265652
2003-12-04,265975
2003-12-17,266724
2003-12-30,266672
2004-01-12,266856
2004-01-25,266865
2004-02-07,267524
2004-02-20,268186
2004-03-04,268481
2004-03-17,269167
2004-03-31,269581
2004-04-13,269606
2004-04-26,270045
2004-05-09,270842
2004-05-22,271589
2004-06-04,272106
2004-06-17,271694
2004-06-30,272346
2004-07-13,273365
2004-07-26,273401
2004-08-08,273794
2004-08-21,274062
2004-09-03,274437
2004-09-16,274540
2004-09-29,275256
2004-10-12,275426
2004-10-25,275957
2004-11-07,276729
2004-11-20,277589
2004-12-03,277660
2004-12-16,278199
2004-12-29,278755
2005-01-11,278506
2005-01-24,278842
2005-02-06,279624
2005-02-19,279630
2005-03-04,279693
2005-03-17,280473
2005-03-30,280573
2005-04-12,281597
2005-04-25,281261
2005-05-08,281136
2005-05-21,281842
2005-06-03,281724
2005-06-16,281744
2005-06-29,283470
2005-07-12,282521
2005-07-25,283028
2005-08-07,283480
2005-08-20,284441
2005-09-03,284245
2005-09-16,284551
2005-09-29,284579
2005-10-12,285586
2005-10-25,285425
2005-11-07,285433
2005-11-20,286890
2005-12-03,287465
2005-12-16,287102
2005-12-29,286966
2006-01-11,287824
2006-01-24,287701
2006-02-06,287184
2006-02-19,288431
2006-03-04,289028
2006-03-17,289554
2006-03-30,290168
2006-04-12,290710
2006-04-25,291707
2006-05-08,293442
2006-05-21,293877
2006-06-03,294533
2006-06-16,294941
2006-06-29,295253
2006-07-12,295542
2006-07-25,296937
2006-08-07,297391
2006-08-20,298368
2006-09-02,298624
2006-09-15,299449
2006-09-28,299959
2006-10-11,300599
2006-10-24,301700
2006-11-06,301205
2006-11-19,301389
2006-12-02,301182
2006-12-15,301525
2006-12-28,302798
2007-01-10,303306
2007-01-24,304366
2007-02-06,304495
2007-02-19,304948
2007-03-04,304901
2007-03-17,306283
2007-03-30,305627
2007-04-12,305932
2007-04-25,306545
2007-05-08,305443
2007-05-21,308137
2007-06-03,309292
2007-06-16,309889
2007-06-29,311439
2007-07-12,311774
2007-07-25,311745
2007-08-07,311143
2007-08-20,311948
2007-09-02,312946
2007-09-15,313826
2007-09-28,314796
2007-10-11,315018
2007-10-24,314997
2007-11-06,315251
2007-11-19,316288
2007-12-02,317237
2007-12-15,318102
2007-12-28,318363
2008-01-10,318088
2008-01-23,318198
2008-02-05,318624
2008-02-18,318816
2008-03-02,318423
2008-03-15,318863
2008-03-28,319548
2008-04-10,320775
2008-04-23,320775
2008-05-06,320609
2008-05-19,320645
2008-06-01,320222
2008-06-14,321460
2008-06-28,321678
2008-07-11,322190
2008-07-24,322556
2008-08-06,323083
2008-08-19,323858
2008-09-01,324109
2008-09-14,324652
2008-09-27,324630
2008-10-10,324126
2008-10-23,323985
2008-11-05,324248
2008-11-18,324280
2008-12-01,324578
2008-12-14,325119
2008-12-27,325003
2009-01-09,325101
2009-01-22,325726
2009-02-04,325439
2009-02-17,324415
2009-03-02,325139
2009-03-15,324808
2009-03-28,324795
2009-04-10,324772
2009-04-23,325277
2009-05-06,326009
2009-05-19,326846
2009-06-01,326820
2009-06-14,327052
2009-06-27,327796
2009-07-10,329261
2009-07-23,330772
