Date,Price
2000-01-01,190523
2000-01-15,190848
2000-01-28,191897
2000-02-10,192591
2000-02-23,193329
2000-03-07,193475
2000-03-20,194263
2000-04-02,195209
2000-04-15,196693
2000-04-28,197276
2000-05-11,198369
2000-05-24,198846
2000-06-06,199711
2000-06-19,199961
2000-07-02,201341
2000-07-15,201262
2000-07-28,201477
2000-08-10,202092
2000-08-23,202843
2000-09-05,202911
2000-09-18,203498
2000-10-01,203975
2000-10-14,204733
2000-10-27,205239
2000-11-09,205779
2000-11-22,205898
2000-12-05,206056
2000-12-18,206177
2000-12-31,205924
2001-01-13,206205
2001-01-26,206094
2001-02-08,206632
2001-02-21,207093
2001-03-06,207634
2001-03-19,208000
2001-04-01,208148
2001-04-14,208343
2001-04-27,208184
2001-05-10,209453
2001-05-23,209758
2001-06-06,209939
2001-06-19,210506
2001-07-02,210864
2001-07-15,212260
2001-07-28,212438
2001-08-10,212635
2001-08-23,212799
2001-09-05,213236
2001-09-18,213107
2001-10-01,213704
2001-10-14,213673
2001-10-27,214374
2001-11-09,214679
2001-11-22,215073
2001-12-05,215460
2001-12-18,215975
2001-12-31,216457
2002-01-13,216499
2002-01-26,217043
2002-02-08,218014
2002-02-21,218705
2002-03-06,219188
2002-03-19,219653
2002-04-01,220523
2002-04-14,220962
2002-04-27,221969
2002-05-10,222114
2002-05-23,222103
2002-06-05,223287
2002-06-18,223561
2002-07-01,223820
2002-07-14,224524
2002-07-27,224481
2002-08-09,224585
2002-08-22,224991
2002-09-04,225295
2002-09-17,226118
2002-09-30,226870
2002-10-13,227493
2002-10-26,227648
2002-11-09,228113
2002-11-22,228063
2002-12-05,228499
2002-12-18,228366
2002-12-31,228663
2003-01-13,229046
2003-01-26,229055
2003-02-08,229314
2003-02-21,229498
2003-03-06,229985
2003-03-19,230154
2003-04-01,230610
2003-04-14,231180
2003-04-27,231397
2003-05-10,231011
2003-05-23,231551
2003-06-05,230780
2003-06-18,231011
2003-07-01,231435
2003-07-14,230445
2003-07-27,231170
2003-08-09,231835
2003-08-22,231659
2003-09-04,231726
2003-09-17,231608
2003-09-30,231284
2003-10-13,231089
2003-10-26,230875
2003-11-08,230787
2003-11-21,231095
2003-12-04,230883
2003-12-17,231534
2003-12-30,230875
2004-01-12,230735
2004-01-25,230715
2004-02-07,231166
2004-02-20,231003
2004-03-04,230883
2004-03-17,231501
2004-03-31,231487
2004-04-13,231346
2004-04-26,231417
2004-05-09,231731
2004-05-22,232016
2004-06-04,231833
2004-06-17,232252
2004-06-30,232981
2004-07-13,233089
2004-07-26,233370
2004-08-08,233274
2004-08-21,233209
2004-09-03,233282
2004-09-16,233424
2004-09-29,233592
2004-10-12,233872
2004-10-25,233877
2004-11-07,233925
2004-11-20,234037
2004-12-03,234533
2004-12-16,234360
2004-12-29,234672
2005-01-11,234367
2005-01-24,234410
2005-02-06,234800
2005-02-19,234821
2005-03-04,235066
2005-03-17,235175
2005-03-30,235619
2005-04-12,236052
2005-04-25,236148
2005-05-08,235822
2005-05-21,236053
2005-06-03,236152
2005-06-16,236644
2005-06-29,237130
2005-07-12,236740
2005-07-25,236838
2005-08-07,237040
2005-08-20,237212
2005-09-03,237433
2005-09-16,237795
2005-09-29,237797
2005-10-12,238129
2005-10-25,238679
2005-11-07,238427
2005-11-20,238878
2005-12-03,238753
2005-12-16,238963
2005-12-29,238973
2006-01-11,239251
2006-01-24,239326
2006-02-06,239468
2006-02-19,240294
2006-03-04,240477
2006-03-17,240528
2006-03-30,240533
2006-04-12,241087
2006-04-25,241487
2006-05-08,242289
2006-05-21,242200
2006-06-03,243294
2006-06-16,243134
2006-06-29,243108
