Date,Price
2000-01-01,291943
2000-01-15,290507
2000-01-28,291835
2000-02-10,290913
2000-02-23,293426
2000-03-07,295625
2000-03-20,295833
2000-04-02,295615
2000-04-15,298507
2000-04-28,299008
2000-05-11,298932
2000-05-24,300763
2000-06-06,301009
2000-06-19,301898
2000-07-02,304988
2000-07-15,303440
2000-07-28,304022
2000-08-10,304146
2000-08-23,305225
2000-09-05,306004
2000-09-18,307272
2000-10-01,309162
2000-10-14,310285
2000-10-27,310650
2000-11-09,311216
2000-11-22,312316
2000-12-05,311575
2000-12-18,311147
2000-12-31,312156
2001-01-13,311815
2001-01-26,311390
2001-02-08,313458
2001-02-21,313771
2001-03-06,314857
2001-03-19,315442
2001-04-01,315716
2001-04-14,315761
2001-04-27,316198
2001-05-10,317706
2001-05-23,318004
2001-06-06,319472
2001-06-19,320329
2001-07-02,319750
2001-07-15,321386
2001-07-28,321928
2001-08-10,322737
2001-08-23,323719
2001-09-05,325171
2001-09-18,325117
2001-10-01,325473
2001-10-14,327070
2001-10-27,328060
2001-11-09,328411
2001-11-22,328801
2001-12-05,329058
2001-12-18,329588
2001-12-31,329911
2002-01-13,330469
2002-01-26,331507
2002-02-08,334134
2002-02-21,335571
2002-03-06,335434
2002-03-19,336049
2002-04-01,339025
2002-04-14,340101
2002-04-27,342992
2002-05-10,344143
2002-05-23,341757
2002-06-05,344195
2002-06-18,344909
2002-07-01,345275
2002-07-14,346702
2002-07-27,348303
2002-08-09,348040
2002-08-22,349615
2002-09-04,349140
2002-09-17,349851
2002-09-30,351968
2002-10-13,352132
2002-10-26,353029
2002-11-09,355851
2002-11-22,355028
2002-12-05,357172
2002-12-18,357316
2002-12-31,356907
2003-01-13,356620
2003-01-26,356564
2003-02-08,358650
2003-02-21,359334
2003-03-06,364396
2003-03-19,365934
2003-04-01,365167
2003-04-14,365320
2003-04-27,365054
2003-05-10,367267
2003-05-23,369841
2003-06-05,370765
2003-06-18,373038
2003-07-01,376388
2003-07-14,377139
2003-07-27,378197
2003-08-09,379175
