Date,Price
2000-01-01,209460
2000-01-15,209760
2000-01-28,210491
2000-02-10,211140
2000-02-23,211536
2000-03-07,212568
2000-03-20,213267
2000-04-02,213761
2000-04-15,214933
2000-04-28,215379
2000-05-11,216143
2000-05-24,216911
2000-06-06,217825
2000-06-19,218831
2000-07-02,219395
2000-07-15,219465
2000-07-28,220143
2000-08-10,220269
2000-08-23,221021
2000-09-05,221474
2000-09-18,221616
2000-10-01,222365
2000-10-14,222938
2000-10-27,223150
2000-11-09,224318
2000-11-22,224808
2000-12-05,225401
2000-12-18,225612
2000-12-31,225760
2001-01-13,225564
2001-01-26,226205
2001-02-08,226628
2001-02-21,227129
2001-03-06,227350
2001-03-19,228089
2001-04-01,229114
2001-04-14,230700
2001-04-27,230678
2001-05-10,230752
2001-05-23,230768
2001-06-06,232470
2001-06-19,232664
2001-07-02,232872
2001-07-15,233053
2001-07-28,233459
2001-08-10,234408
2001-08-23,234811
2001-09-05,235492
2001-09-18,236458
2001-10-01,237077
2001-10-14,237610
2001-10-27,238325
2001-11-09,239168
2001-11-22,239700
2001-12-05,240077
2001-12-18,240456
2001-12-31,240926
2002-01-13,241190
2002-01-26,241466
2002-02-08,243587
2002-02-21,244974
2002-03-06,245912
2002-03-19,246171
2002-04-01,247183
2002-04-14,248354
2002-04-27,249526
2002-05-10,251160
2002-05-23,251669
2002-06-05,252754
2002-06-18,253343
2002-07-01,254363
2002-07-14,256270
2002-07-27,256018
2002-08-09,256677
2002-08-22,258200
2002-09-04,258639
2002-09-17,259462
2002-09-30,259936
2002-10-13,259963
2002-10-26,260808
2002-11-09,262544
2002-11-22,263897
2002-12-05,264823
2002-12-18,265258
2002-12-31,266000
2003-01-13,266428
2003-01-26,267098
2003-02-08,268371
2003-02-21,269929
2003-03-06,270205
2003-03-19,271703
2003-04-01,272532
2003-04-14,273255
2003-04-27,274342
2003-05-10,275279
2003-05-23,276207
2003-06-05,276644
2003-06-18,277321
2003-07-01,278694
2003-07-14,278663
2003-07-27,280161
2003-08-09,280880
2003-08-22,281791
2003-09-04,281932
2003-09-17,283388
2003-09-30,282854
2003-10-13,283453
2003-10-26,284074
2003-11-08,284956
2003-11-21,286206
2003-12-04,286402
2003-12-17,286872
